"id"	"time.start"	"time.end"	"variable"	"file.name"
"nhd_10595606"	"1960-01-01"	"2099-12-31"	"airtemp"	"ECHAM5_nhd_10595606_19600101.20991231_airtemp.RData"
"nhd_10595606"	"1960-01-01"	"2099-12-31"	"dlwrfsfc"	"ECHAM5_nhd_10595606_19600101.20991231_dlwrfsfc.RData"
"nhd_10595606"	"1960-01-01"	"2099-12-31"	"dswrfsfc"	"ECHAM5_nhd_10595606_19600101.20991231_dswrfsfc.RData"
"nhd_10595606"	"1960-01-01"	"2099-12-31"	"precip"	"ECHAM5_nhd_10595606_19600101.20991231_precip.RData"
"nhd_10595606"	"1960-01-01"	"2099-12-31"	"pressfc"	"ECHAM5_nhd_10595606_19600101.20991231_pressfc.RData"
"nhd_10595606"	"1960-01-01"	"2099-12-31"	"relhum"	"ECHAM5_nhd_10595606_19600101.20991231_relhum.RData"
"nhd_10595606"	"1960-01-01"	"2099-12-31"	"ugrd10m"	"ECHAM5_nhd_10595606_19600101.20991231_ugrd10m.RData"
"nhd_10595606"	"1960-01-01"	"2099-12-31"	"vgrd10m"	"ECHAM5_nhd_10595606_19600101.20991231_vgrd10m.RData"
"nhd_10595614"	"1960-01-01"	"2099-12-31"	"airtemp"	"ECHAM5_nhd_10595614_19600101.20991231_airtemp.RData"
"nhd_10595614"	"1960-01-01"	"2099-12-31"	"dlwrfsfc"	"ECHAM5_nhd_10595614_19600101.20991231_dlwrfsfc.RData"
"nhd_10595614"	"1960-01-01"	"2099-12-31"	"dswrfsfc"	"ECHAM5_nhd_10595614_19600101.20991231_dswrfsfc.RData"
"nhd_10595614"	"1960-01-01"	"2099-12-31"	"precip"	"ECHAM5_nhd_10595614_19600101.20991231_precip.RData"
"nhd_10595614"	"1960-01-01"	"2099-12-31"	"pressfc"	"ECHAM5_nhd_10595614_19600101.20991231_pressfc.RData"
"nhd_10595614"	"1960-01-01"	"2099-12-31"	"relhum"	"ECHAM5_nhd_10595614_19600101.20991231_relhum.RData"
"nhd_10595614"	"1960-01-01"	"2099-12-31"	"ugrd10m"	"ECHAM5_nhd_10595614_19600101.20991231_ugrd10m.RData"
