"id"	"time.start"	"time.end"	"variable"	"file.name"
"nhd_10595606"	"1980-01-01"	"2089-12-31"	"airtemp"	"GENMOM_nhd_10595606_19800101.20891231_airtemp.RData"
"nhd_10595606"	"1980-01-01"	"2089-12-31"	"apcpsfc"	"GENMOM_nhd_10595606_19800101.20891231_apcpsfc.RData"
"nhd_10595606"	"1980-01-01"	"2089-12-31"	"dlwrfsfc"	"GENMOM_nhd_10595606_19800101.20891231_dlwrfsfc.RData"
"nhd_10595606"	"1980-01-01"	"2089-12-31"	"dswrfsfc"	"GENMOM_nhd_10595606_19800101.20891231_dswrfsfc.RData"
"nhd_10595606"	"1980-01-01"	"2089-12-31"	"pressfc"	"GENMOM_nhd_10595606_19800101.20891231_pressfc.RData"
"nhd_10595606"	"1980-01-01"	"2089-12-31"	"relhum"	"GENMOM_nhd_10595606_19800101.20891231_relhum.RData"
"nhd_10595606"	"1980-01-01"	"2089-12-31"	"ugrd10m"	"GENMOM_nhd_10595606_19800101.20891231_ugrd10m.RData"
"nhd_10595606"	"1980-01-01"	"2089-12-31"	"vgrd10m"	"GENMOM_nhd_10595606_19800101.20891231_vgrd10m.RData"
"nhd_10595614"	"1980-01-01"	"2089-12-31"	"airtemp"	"GENMOM_nhd_10595614_19800101.20891231_airtemp.RData"
"nhd_10595614"	"1980-01-01"	"2089-12-31"	"apcpsfc"	"GENMOM_nhd_10595614_19800101.20891231_apcpsfc.RData"
"nhd_10595614"	"1980-01-01"	"2089-12-31"	"dlwrfsfc"	"GENMOM_nhd_10595614_19800101.20891231_dlwrfsfc.RData"
"nhd_10595614"	"1980-01-01"	"2089-12-31"	"dswrfsfc"	"GENMOM_nhd_10595614_19800101.20891231_dswrfsfc.RData"
"nhd_10595614"	"1980-01-01"	"2089-12-31"	"pressfc"	"GENMOM_nhd_10595614_19800101.20891231_pressfc.RData"
"nhd_10595614"	"1980-01-01"	"2089-12-31"	"relhum"	"GENMOM_nhd_10595614_19800101.20891231_relhum.RData"
"nhd_10595614"	"1980-01-01"	"2089-12-31"	"ugrd10m"	"GENMOM_nhd_10595614_19800101.20891231_ugrd10m.RData"
"nhd_10595614"	"1980-01-01"	"2089-12-31"	"vgrd10m"	"GENMOM_nhd_10595614_19800101.20891231_vgrd10m.RData"
"nhd_10595748"	"1980-01-01"	"2089-12-31"	"airtemp"	"GENMOM_nhd_10595748_19800101.20891231_airtemp.RData"
"nhd_10595748"	"1980-01-01"	"2089-12-31"	"apcpsfc"	"GENMOM_nhd_10595748_19800101.20891231_apcpsfc.RData"
"nhd_10595748"	"1980-01-01"	"2089-12-31"	"dlwrfsfc"	"GENMOM_nhd_10595748_19800101.20891231_dlwrfsfc.RData"
"nhd_10595748"	"1980-01-01"	"2089-12-31"	"dswrfsfc"	"GENMOM_nhd_10595748_19800101.20891231_dswrfsfc.RData"
"nhd_10595748"	"1980-01-01"	"2089-12-31"	"pressfc"	"GENMOM_nhd_10595748_19800101.20891231_pressfc.RData"
"nhd_10595748"	"1980-01-01"	"2089-12-31"	"relhum"	"GENMOM_nhd_10595748_19800101.20891231_relhum.RData"
"nhd_10595748"	"1980-01-01"	"2089-12-31"	"ugrd10m"	"GENMOM_nhd_10595748_19800101.20891231_ugrd10m.RData"
"nhd_10595748"	"1980-01-01"	"2089-12-31"	"vgrd10m"	"GENMOM_nhd_10595748_19800101.20891231_vgrd10m.RData"
"nhd_10596268"	"1980-01-01"	"2089-12-31"	"airtemp"	"GENMOM_nhd_10596268_19800101.20891231_airtemp.RData"
"nhd_10596268"	"1980-01-01"	"2089-12-31"	"apcpsfc"	"GENMOM_nhd_10596268_19800101.20891231_apcpsfc.RData"
"nhd_10596268"	"1980-01-01"	"2089-12-31"	"dlwrfsfc"	"GENMOM_nhd_10596268_19800101.20891231_dlwrfsfc.RData"
"nhd_10596268"	"1980-01-01"	"2089-12-31"	"dswrfsfc"	"GENMOM_nhd_10596268_19800101.20891231_dswrfsfc.RData"
