"id"	"time.start"	"time.end"	"variable"	"file.name"
"nhd_10595606"	"1980-01-01"	"2099-12-31"	"airtemp"	"GFDL_nhd_10595606_19800101.20991231_airtemp.RData"
"nhd_10595606"	"1980-01-01"	"2099-12-31"	"dlwrfsfc"	"GFDL_nhd_10595606_19800101.20991231_dlwrfsfc.RData"
"nhd_10595606"	"1980-01-01"	"2099-12-31"	"dswrfsfc"	"GFDL_nhd_10595606_19800101.20991231_dswrfsfc.RData"
"nhd_10595606"	"1980-01-01"	"2099-12-31"	"precip"	"GFDL_nhd_10595606_19800101.20991231_precip.RData"
"nhd_10595606"	"1980-01-01"	"2099-12-31"	"relhumperc"	"GFDL_nhd_10595606_19800101.20991231_relhumperc.RData"
"nhd_10595606"	"1980-01-01"	"2099-12-31"	"snow"	"GFDL_nhd_10595606_19800101.20991231_snow.RData"
"nhd_10595606"	"1980-01-01"	"2099-12-31"	"windspeed"	"GFDL_nhd_10595606_19800101.20991231_windspeed.RData"
"nhd_10595614"	"1980-01-01"	"2099-12-31"	"airtemp"	"GFDL_nhd_10595614_19800101.20991231_airtemp.RData"
"nhd_10595614"	"1980-01-01"	"2099-12-31"	"dlwrfsfc"	"GFDL_nhd_10595614_19800101.20991231_dlwrfsfc.RData"
"nhd_10595614"	"1980-01-01"	"2099-12-31"	"dswrfsfc"	"GFDL_nhd_10595614_19800101.20991231_dswrfsfc.RData"
"nhd_10595614"	"1980-01-01"	"2099-12-31"	"precip"	"GFDL_nhd_10595614_19800101.20991231_precip.RData"
"nhd_10595614"	"1980-01-01"	"2099-12-31"	"relhumperc"	"GFDL_nhd_10595614_19800101.20991231_relhumperc.RData"
"nhd_10595614"	"1980-01-01"	"2099-12-31"	"snow"	"GFDL_nhd_10595614_19800101.20991231_snow.RData"
"nhd_10595614"	"1980-01-01"	"2099-12-31"	"windspeed"	"GFDL_nhd_10595614_19800101.20991231_windspeed.RData"
"nhd_10595748"	"1980-01-01"	"2099-12-31"	"airtemp"	"GFDL_nhd_10595748_19800101.20991231_airtemp.RData"
"nhd_10595748"	"1980-01-01"	"2099-12-31"	"dlwrfsfc"	"GFDL_nhd_10595748_19800101.20991231_dlwrfsfc.RData"
"nhd_10595748"	"1980-01-01"	"2099-12-31"	"dswrfsfc"	"GFDL_nhd_10595748_19800101.20991231_dswrfsfc.RData"
"nhd_10595748"	"1980-01-01"	"2099-12-31"	"precip"	"GFDL_nhd_10595748_19800101.20991231_precip.RData"
"nhd_10595748"	"1980-01-01"	"2099-12-31"	"relhumperc"	"GFDL_nhd_10595748_19800101.20991231_relhumperc.RData"
"nhd_10595748"	"1980-01-01"	"2099-12-31"	"snow"	"GFDL_nhd_10595748_19800101.20991231_snow.RData"
"nhd_10596268"	"1980-01-01"	"2099-12-31"	"airtemp"	"GFDL_nhd_10596268_19800101.20991231_airtemp.RData"
"nhd_10596268"	"1980-01-01"	"2099-12-31"	"dlwrfsfc"	"GFDL_nhd_10596268_19800101.20991231_dlwrfsfc.RData"
"nhd_10596268"	"1980-01-01"	"2099-12-31"	"dswrfsfc"	"GFDL_nhd_10596268_19800101.20991231_dswrfsfc.RData"
"nhd_10596268"	"1980-01-01"	"2099-12-31"	"precip"	"GFDL_nhd_10596268_19800101.20991231_precip.RData"
"nhd_10596268"	"1980-01-01"	"2099-12-31"	"relhumperc"	"GFDL_nhd_10596268_19800101.20991231_relhumperc.RData"
"nhd_10596268"	"1980-01-01"	"2099-12-31"	"snow"	"GFDL_nhd_10596268_19800101.20991231_snow.RData"
"nhd_10596268"	"1980-01-01"	"2099-12-31"	"windspeed"	"GFDL_nhd_10596268_19800101.20991231_windspeed.RData"
"nhd_10596466"	"1980-01-01"	"2099-12-31"	"airtemp"	"GFDL_nhd_10596466_19800101.20991231_airtemp.RData"
"nhd_10596466"	"1980-01-01"	"2099-12-31"	"dlwrfsfc"	"GFDL_nhd_10596466_19800101.20991231_dlwrfsfc.RData"
"nhd_10596466"	"1980-01-01"	"2099-12-31"	"dswrfsfc"	"GFDL_nhd_10596466_19800101.20991231_dswrfsfc.RData"
"nhd_10596466"	"1980-01-01"	"2099-12-31"	"precip"	"GFDL_nhd_10596466_19800101.20991231_precip.RData"
"nhd_10596466"	"1980-01-01"	"2099-12-31"	"relhumperc"	"GFDL_nhd_10596466_19800101.20991231_relhumperc.RData"
"nhd_10596466"	"1980-01-01"	"2099-12-31"	"snow"	"GFDL_nhd_10596466_19800101.20991231_snow.RData"
"nhd_10596466"	"1980-01-01"	"2099-12-31"	"windspeed"	"GFDL_nhd_10596466_19800101.20991231_windspeed.RData"
"nhd_10596502"	"1980-01-01"	"2099-12-31"	"airtemp"	"GFDL_nhd_10596502_19800101.20991231_airtemp.RData"
"nhd_10596502"	"1980-01-01"	"2099-12-31"	"dlwrfsfc"	"GFDL_nhd_10596502_19800101.20991231_dlwrfsfc.RData"
"nhd_10596502"	"1980-01-01"	"2099-12-31"	"dswrfsfc"	"GFDL_nhd_10596502_19800101.20991231_dswrfsfc.RData"
