"dowlknum","site_id"
"59000200",NA
"67001400",NA
"67000200","nhd_7239655"
"67001300",NA
"67000100","nhd_7239653"
"59002300",NA
"59002100",NA
"67001200",NA
"59000100","nhd_7221462"
"59002000",NA
"51012100","nhd_6579370"
"51020100",NA
"51007000","nhd_7241121"
"51020000",NA
"51008300","nhd_120052104"
"51015900",NA
"51016000",NA
"51013200","nhd_120052104"
"53004300",NA
"51008100","nhd_6580552"
"51017500",NA
"59002200",NA
"51011700",NA
"51006900",NA
"59000300",NA
"53007200",NA
"51013900",NA
"32007100",NA
"32007200","nhd_14618620"
"51010500","nhd_6580564"
"32008900",NA
"51006600",NA
"51003000",NA
"32008200",NA
"53005200",NA
"51006500",NA
"51006700","nhd_7241133"
"51011800",NA
"51000700","nhd_4048198"
"53001800","nhd_6580694"
"32008400","nhd_120052574"
"53004400",NA
"53004800","nhd_6580698"
"53004100",NA
"51005900",NA
"53001500",NA
"53002403",NA
"32010600",NA
"51011100",NA
"51007600",NA
"53000800",NA
"51010400",NA
"53003200",NA
"53007100",NA
"51005400","nhd_6580628"
"32008000",NA
"51018600",NA
"51014500",NA
"53007000",NA
"32008400","nhd_120052574"
"53002000","nhd_6580704"
"51015800",NA
"53002700",NA
"32007500",NA
"53004200",NA
"53003300",NA
"51000500",NA
"51001100","nhd_6579740"
"17004600",NA
"53000500",NA
"51001700",NA
"17008300","nhd_6580624"
"53002100","nhd_6580706"
"51006800","nhd_6580548"
"51015600",NA
"51017200",NA
"51002000","nhd_6580654"
"17008800",NA
"53002600",NA
"53003500",NA
"51001500","nhd_4048172"
"51007500","nhd_6579714"
"53000200",NA
"51016900",NA
"51006100",NA
"51003100","nhd_6579744"
"53003600",NA
"53003800",NA
"32007000",NA
"51017000",NA
"53002400","nhd_14618604"
"51007802",NA
"51002900",NA
"53001200",NA
"51011500",NA
"51006000",NA
"32007400",NA
"53002200","nhd_6580712"
"53003100","nhd_6580680"
"53001700",NA
"51007803",NA
"32007900",NA
"17005601","nhd_4048152"
"51014900",NA
"51001300",NA
"17006000",NA
"51012000","nhd_6579728"
"17007200","nhd_6580604"
"17005100",NA
"51003400",NA
"51004800","nhd_6580666"
"51011000",NA
"51017100",NA
"51002500","nhd_6580582"
"53002403","nhd_14618604"
"53002900","nhd_14618594"
"17004400","nhd_6580592"
"53003900",NA
