id	dom.class
nhd_4943951	41
nhd_7102201	41
nhd_22190164	41
nhd_7108741	90
nhd_2384650	41
nhd_1101980	22
nhd_2384766	41
nhd_2385068	41
nhd_2384578	21
nhd_1101942	41
nhd_1102056	41
nhd_1102046	95
nhd_2384614	41
nhd_2384688	41
nhd_1101928	41
nhd_1102008	41
nhd_2384776	41
nhd_2385040	41
nhd_2385060	41
nhd_1101938	41
nhd_1103970	41
nhd_1102088	41
nhd_1102194	21
nhd_1102202	21
nhd_1102284	52
nhd_1102244	81
nhd_2384758	81
nhd_1102366	41
nhd_1101926	41
nhd_2385422	41
nhd_2384576	41
nhd_2384686	95
nhd_2384858	81
nhd_2384554	95
nhd_2352404	81
nhd_2352842	81
nhd_2384832	21
nhd_2384996	23
nhd_4616390	41
nhd_4616420	43
nhd_4839536	41
nhd_4835088	95
nhd_4835188	95
nhd_22325301	90
nhd_22325305	43
nhd_4834964	90
nhd_22325089	90
nhd_22325085	41
nhd_22325175	90
nhd_4839538	41
nhd_4834988	42
nhd_4616348	41
nhd_4616358	41
nhd_120053302	41
nhd_4619384	41
nhd_4616364	41
nhd_4619464	41
nhd_4619478	41
nhd_4839510	41
nhd_4821833	41
nhd_4839592	43
nhd_4839632	43
nhd_4839410	95
nhd_4816421	90
nhd_4816125	41
nhd_4816127	41
nhd_4816173	41
nhd_4816275	41
nhd_4816355	41
nhd_4618864	41
nhd_4618580	41
nhd_4821681	41
nhd_4619564	41
nhd_4618572	41
nhd_4618638	41
nhd_4618622	41
nhd_4618658	41
nhd_4818613	41
nhd_4818983	41
nhd_4821531	41
nhd_4818297	41
nhd_4818397	95
nhd_4818805	41
nhd_167122299	95
nhd_4817643	90
nhd_120052896	95
nhd_4619488	41
nhd_4619424	41
nhd_4821773	41
nhd_4821851	41
nhd_4821857	41
nhd_4821999	41
nhd_4822039	41
nhd_4819131	41
nhd_4821553	41
nhd_4818431	41
nhd_4618954	41
nhd_4819099	41
nhd_4817675	95
nhd_4817559	41
nhd_4857665	41
nhd_4946333	90
nhd_4946273	41
nhd_120053307	41
nhd_4941979	90
nhd_4619772	41
nhd_4619448	41
nhd_4822259	41
nhd_4619010	41
nhd_4619122	41
nhd_4619176	41
nhd_4619240	90
nhd_4619296	90
nhd_4619532	41
nhd_4822177	41
nhd_4821841	41
nhd_4821889	41
nhd_4821929	41
nhd_4821979	41
nhd_4821935	41
nhd_4821957	41
nhd_4822029	41
nhd_4822055	41
nhd_4822095	41
nhd_4822131	41
nhd_4822093	41
nhd_4821665	41
nhd_4821685	41
nhd_4821697	41
nhd_4818653	41
nhd_4818867	41
nhd_120053111	41
nhd_120053110	41
nhd_4821515	41
nhd_167122172	41
nhd_4620138	90
nhd_4955292	41
nhd_4821741	41
nhd_4819127	41
nhd_4817601	41
nhd_22327099	43
nhd_4817557	41
nhd_4946469	41
nhd_4946315	90
nhd_4946323	41
nhd_4946351	41
nhd_4946385	41
nhd_4620058	41
nhd_4619586	41
nhd_4618876	41
nhd_4618846	41
nhd_4618974	41
nhd_4618956	41
nhd_4619214	41
nhd_4619130	41
nhd_4619340	41
nhd_4619306	41
nhd_4619380	41
nhd_4619430	41
nhd_4821721	41
nhd_4821809	41
nhd_4821899	41
nhd_4822065	41
nhd_4821997	41
nhd_4821687	41
nhd_4818763	95
nhd_4818837	41
nhd_4818825	41
nhd_4818973	41
nhd_120053108	41
nhd_120053107	41
nhd_4821513	41
nhd_4821635	41
nhd_4821629	41
nhd_4818449	41
nhd_4818453	41
nhd_4818383	41
nhd_4619272	41
nhd_4821881	41
nhd_167122292	41
nhd_22327155	95
nhd_4619164	41
nhd_4619230	41
nhd_4619336	41
nhd_4618682	41
nhd_4618762	41
nhd_4818477	41
nhd_4818517	41
nhd_4818583	41
nhd_4818703	41
nhd_4818679	42
nhd_120053105	41
nhd_120053106	41
nhd_4818951	41
nhd_4818975	41
nhd_4821575	41
nhd_4818363	41
nhd_4818219	41
nhd_4818325	42
nhd_4817841	95
nhd_4817647	95
nhd_4817687	41
nhd_4817711	42
nhd_4817745	41
nhd_4817793	95
nhd_4817819	95
nhd_4941635	41
nhd_4821919	41
nhd_4817769	41
nhd_22327081	41
nhd_4941263	41
nhd_4821791	41
nhd_4819023	41
nhd_4616342	41
nhd_2646818	81
nhd_2646832	95
nhd_2646848	41
nhd_2646840	95
nhd_2647076	41
nhd_2646752	41
nhd_2646746	41
nhd_2646558	41
nhd_2646634	81
nhd_2646660	81
nhd_2646688	81
nhd_2646854	41
nhd_2646988	41
nhd_2647036	95
nhd_2646716	95
nhd_2645928	41
nhd_2645826	95
nhd_2645822	90
nhd_2645882	95
nhd_2645898	41
nhd_2645914	95
nhd_2645876	95
nhd_7026065	82
nhd_6688509	41
nhd_6688267	41
nhd_6688311	82
nhd_6688369	82
nhd_22328303	41
nhd_22328827	42
nhd_22328583	42
nhd_22328385	41
nhd_7054763	41
nhd_7054417	41
nhd_7054333	41
nhd_22328327	41
nhd_22328343	41
nhd_7027747	41
nhd_7058199	41
nhd_22328567	41
nhd_22328549	41
nhd_7028113	41
nhd_7027847	41
nhd_7055775	41
nhd_7055057	41
nhd_7054519	41
nhd_7054925	41
nhd_7055539	41
nhd_6652159	41
nhd_6651771	41
nhd_6651919	41
nhd_6652135	41
nhd_7028423	41
nhd_7028261	41
nhd_7028331	41
nhd_7055823	41
nhd_7055159	41
nhd_7054789	95
nhd_4794918	90
nhd_4794958	42
nhd_120053262	43
nhd_4796318	41
nhd_4795896	43
nhd_4796056	42
nhd_4795360	43
nhd_4793020	42
nhd_120053263	43
nhd_4793588	43
nhd_120053260	43
nhd_4795348	43
nhd_120052965	0
nhd_4793148	42
nhd_4793268	43
nhd_4792730	0
nhd_4796298	42
nhd_4796358	42
nhd_4796334	42
nhd_4796316	42
nhd_4796306	42
nhd_4796330	41
nhd_4796432	42
nhd_4795538	42
nhd_4795816	42
nhd_4793068	42
nhd_4793064	42
nhd_4793144	43
nhd_4793112	42
nhd_4793084	42
nhd_4793296	42
nhd_4793256	41
nhd_4793492	90
nhd_4793504	43
nhd_4793482	42
nhd_4793592	43
nhd_120053264	43
nhd_4795312	43
nhd_4795318	42
nhd_4793744	43
nhd_4795378	90
nhd_4792736	42
nhd_4792808	42
nhd_4792920	42
nhd_4795614	42
