"id","source","type","zmax"
NA,"bathybase","maxdepth",591.9
"nhd_14726284","bathybase","maxdepth",7.6
"nhd_120052176","bathybase","maxdepth",67.1
"nhd_14726662","bathybase","maxdepth",3.4
"nhd_6866469","bathybase","maxdepth",14.9
NA,"bathybase","maxdepth",7.9
"nhd_13394595","bathybase","maxdepth",6.1
"nhd_13394253","bathybase","maxdepth",7.9
"nhd_2454776","bathybase","maxdepth",3
NA,"bathybase","maxdepth",4.6
"nhd_13138501","bathybase","maxdepth",1.5
NA,"bathybase","maxdepth",498.982
"nhd_13134709","bathybase","maxdepth",2.7
"nhd_6866613","bathybase","maxdepth",2.7
NA,"bathybase","maxdepth",24.4
"nhd_9035735","bathybase","maxdepth",10.7
"nhd_9035845","bathybase","maxdepth",8.8
"nhd_9036137","bathybase","maxdepth",21.3
"nhd_9035729","bathybase","maxdepth",7.6
"nhd_13097728","bathybase","maxdepth",6.1
"nhd_13102611","bathybase","maxdepth",9.1
"nhd_14729180","bathybase","maxdepth",7.6
"nhd_6864373","bathybase","maxdepth",1.5
"nhd_12980565","bathybase","maxdepth",9.1
"nhd_12991541","bathybase","maxdepth",6.1
"nhd_12988983","bathybase","maxdepth",4.3
"nhd_13349370","bathybase","maxdepth",13.7
"nhd_13345714","bathybase","maxdepth",4.6
"nhd_13345726","bathybase","maxdepth",3.7
"nhd_13344020","bathybase","maxdepth",18.6
"nhd_13123946","bathybase","maxdepth",6.1
"nhd_9029911","bathybase","maxdepth",3
"nhd_13117608","bathybase","maxdepth",3
"nhd_6866553","bathybase","maxdepth",25.9
NA,"bathybase","maxdepth",9.8
"nhd_2266211","bathybase","maxdepth",7.3
NA,"bathybase","maxdepth",3
"nhd_12162818","bathybase","maxdepth",11.6
NA,"bathybase","maxdepth",7.6
"nhd_1813543","bathybase","maxdepth",5.2
"nhd_1813733","bathybase","maxdepth",3
"nhd_1813701","bathybase","maxdepth",6.1
"nhd_1813727","bathybase","maxdepth",12.2
"nhd_6791805","bathybase","maxdepth",17.4
"nhd_6866301","bathybase","maxdepth",7.3
"nhd_12161226","bathybase","maxdepth",7
"nhd_9022639","bathybase","maxdepth",4.6
NA,"bathybase","maxdepth",6.1
"nhd_12161140","bathybase","maxdepth",9.1
"nhd_12176206","bathybase","maxdepth",18.3
"nhd_6808544","bathybase","maxdepth",10.7
"nhd_6819970","bathybase","maxdepth",7.6
"nhd_6819874","bathybase","maxdepth",18.3
NA,"bathybase","maxdepth",7.9
"nhd_6818344","bathybase","maxdepth",15.2
"nhd_6866345","bathybase","maxdepth",3.7
"nhd_6818330","bathybase","maxdepth",10.1
"nhd_6842183","bathybase","maxdepth",4.6
"nhd_12176188","bathybase","maxdepth",36.3
"nhd_12176166","bathybase","maxdepth",14.3
"nhd_6842791","bathybase","maxdepth",6.1
"nhd_12173068","bathybase","maxdepth",27.4
"nhd_12174574","bathybase","maxdepth",12.2
"nhd_6842187","bathybase","maxdepth",4.6
"nhd_14445790","bathybase","maxdepth",12.2
"nhd_14767842","bathybase","maxdepth",6.1
"nhd_6866369","bathybase","maxdepth",9.1
NA,"bathybase","maxdepth",0.9
"nhd_14767924","bathybase","maxdepth",3
"nhd_14767786","bathybase","maxdepth",12.2
"nhd_14767156","bathybase","maxdepth",13.7
"nhd_13290840","bathybase","maxdepth",25.9
"nhd_13290942","bathybase","maxdepth",12.2
"nhd_13294928","bathybase","maxdepth",15.2
"nhd_13296360","bathybase","maxdepth",9.1
"nhd_120052351","bathybase","maxdepth",10.7
"nhd_120052351","bathybase","maxdepth",21.3
"nhd_13634461","bathybase","maxdepth",8.5
"nhd_120052446","bathybase","maxdepth",13.4
"nhd_13291034","bathybase","maxdepth",7.3
NA,"bathybase","maxdepth",1.8
"nhd_12172926","bathybase","maxdepth",5.8
"nhd_13282794","bathybase","maxdepth",6.1
NA,"bathybase","maxdepth",2.1
"nhd_13282356","bathybase","maxdepth",2.4
"nhd_12172970","bathybase","maxdepth",16.5
"nhd_13290898","bathybase","maxdepth",18.3
"nhd_13290766","bathybase","maxdepth",12.8
"nhd_13652598","bathybase","maxdepth",10.7
"nhd_13290786","bathybase","maxdepth",10.7
NA,"bathybase","maxdepth",1.5
NA,"bathybase","maxdepth",4.6
NA,"bathybase","maxdepth",4.3
"nhd_13411474","bathybase","maxdepth",4.3
NA,"bathybase","maxdepth",1.2
"nhd_13393597","bathybase","maxdepth",9.1
"nhd_13395043","bathybase","maxdepth",7.6
"nhd_13393897","bathybase","maxdepth",29
"nhd_13653704","bathybase","maxdepth",14.3
"nhd_13293262","bathybase","maxdepth",25.3
NA,"bathybase","maxdepth",6.1
NA,"bathybase","maxdepth",6.1
NA,"bathybase","maxdepth",1.8
NA,"bathybase","maxdepth",30.5
NA,"bathybase","maxdepth",3
NA,"bathybase","maxdepth",12.2
NA,"bathybase","maxdepth",6.7
NA,"bathybase","maxdepth",4.9
NA,"bathybase","maxdepth",4.9
NA,"bathybase","maxdepth",4.3
NA,"bathybase","maxdepth",3.7
NA,"bathybase","maxdepth",7.3
NA,"bathybase","maxdepth",8.2
NA,"bathybase","maxdepth",11.9
NA,"bathybase","maxdepth",14.6
NA,"bathybase","maxdepth",2.7
NA,"bathybase","maxdepth",4.9
NA,"bathybase","maxdepth",9.1
NA,"bathybase","maxdepth",13.7
NA,"bathybase","maxdepth",2.1
NA,"bathybase","maxdepth",3
NA,"bathybase","maxdepth",6.1
NA,"bathybase","maxdepth",6.4
NA,"bathybase","maxdepth",4.3
NA,"bathybase","maxdepth",2.4
NA,"bathybase","maxdepth",4.9
NA,"bathybase","maxdepth",3.7
NA,"bathybase","maxdepth",2.1
NA,"bathybase","maxdepth",1.8
NA,"bathybase","maxdepth",1.8
NA,"bathybase","maxdepth",6.7
NA,"bathybase","maxdepth",7.3
NA,"bathybase","maxdepth",4.9
NA,"bathybase","maxdepth",9.1
NA,"bathybase","maxdepth",6.1
NA,"bathybase","maxdepth",5.5
NA,"bathybase","maxdepth",16.8
NA,"bathybase","maxdepth",3.7
NA,"bathybase","maxdepth",6.7
NA,"bathybase","maxdepth",6.4
NA,"bathybase","maxdepth",3.7
NA,"bathybase","maxdepth",19.2
NA,"bathybase","maxdepth",5.5
NA,"bathybase","maxdepth",8.2
NA,"bathybase","maxdepth",9.1
NA,"bathybase","maxdepth",7.3
NA,"bathybase","maxdepth",13.7
NA,"bathybase","maxdepth",2.7
NA,"bathybase","maxdepth",4.6
NA,"bathybase","maxdepth",4.9
NA,"bathybase","maxdepth",7.3
NA,"bathybase","maxdepth",6.1
NA,"bathybase","maxdepth",5.5
NA,"bathybase","maxdepth",7.3
NA,"bathybase","maxdepth",1.8
NA,"bathybase","maxdepth",5.5
NA,"bathybase","maxdepth",1.5
NA,"bathybase","maxdepth",1.2
NA,"bathybase","maxdepth",8.2
NA,"bathybase","maxdepth",4.9
NA,"bathybase","maxdepth",18.3
NA,"bathybase","maxdepth",9.1
NA,"bathybase","maxdepth",7.3
NA,"bathybase","maxdepth",7.3
NA,"bathybase","maxdepth",3.7
NA,"bathybase","maxdepth",3
NA,"bathybase","maxdepth",2.7
NA,"bathybase","maxdepth",6.4
NA,"bathybase","maxdepth",6.1
NA,"bathybase","maxdepth",5.5
NA,"bathybase","maxdepth",3.4
NA,"bathybase","maxdepth",12.2
NA,"bathybase","maxdepth",4.9
NA,"bathybase","maxdepth",3
NA,"bathybase","maxdepth",4.3
NA,"bathybase","maxdepth",6.7
NA,"bathybase","maxdepth",5.5
NA,"bathybase","maxdepth",5.5
NA,"bathybase","maxdepth",8.2
NA,"bathybase","maxdepth",3
NA,"bathybase","maxdepth",6.1
NA,"bathybase","maxdepth",3.7
"nhd_2630828","bathybase","maxdepth",27
"nhd_4839804","bathybase","maxdepth",23
"nhd_4852249","bathybase","maxdepth",80
"nhd_4840066","bathybase","maxdepth",20
"nhd_4839586","bathybase","maxdepth",17.7
"nhd_4839574","bathybase","maxdepth",75.9
"nhd_4839758","bathybase","maxdepth",66.8
"nhd_4839746","bathybase","maxdepth",23.9
NA,"bathybase","maxdepth",49
"nhd_4839468","bathybase","maxdepth",27
"nhd_167120397","bathybase","maxdepth",80
"nhd_2360898","bathybase","maxdepth",18
"nhd_4856051","bathybase","maxdepth",44.7
"nhd_4855655","bathybase","maxdepth",117
"nhd_4852433","bathybase","maxdepth",47.7
"nhd_4852085","bathybase","maxdepth",44
"nhd_4852141","bathybase","maxdepth",15
