"id"	"source"	"type"	"zmax"
"nhd_4943951"	"Jacobson"	"maxdepth"	5.2
"nhd_22238264"	"Jacobson"	"maxdepth"	NA
NA	"Jacobson"	"maxdepth"	11
"nhd_7102201"	"Jacobson"	"maxdepth"	4.4
"nhd_22190164"	"Jacobson"	"maxdepth"	7.2
"nhd_7108741"	"Jacobson"	"maxdepth"	0.7
NA	"Jacobson"	"maxdepth"	9.8
NA	"Jacobson"	"maxdepth"	5.2
"nhd_2384650"	"Jacobson"	"maxdepth"	3.7
"nhd_1101980"	"Jacobson"	"maxdepth"	2
NA	"Jacobson"	"maxdepth"	5.5
NA	"Jacobson"	"maxdepth"	13.4
NA	"Jacobson"	"maxdepth"	8.5
NA	"Jacobson"	"maxdepth"	11.8
NA	"Jacobson"	"maxdepth"	7
NA	"Jacobson"	"maxdepth"	7
NA	"Jacobson"	"maxdepth"	9.4
NA	"Jacobson"	"maxdepth"	7.6
NA	"Jacobson"	"maxdepth"	8.2
NA	"Jacobson"	"maxdepth"	6.4
NA	"Jacobson"	"maxdepth"	24.3
NA	"Jacobson"	"maxdepth"	9.7
NA	"Jacobson"	"maxdepth"	4.8
NA	"Jacobson"	"maxdepth"	11.2
NA	"Jacobson"	"maxdepth"	6.4
NA	"Jacobson"	"maxdepth"	3.6
NA	"Jacobson"	"maxdepth"	21
NA	"Jacobson"	"maxdepth"	14.3
NA	"Jacobson"	"maxdepth"	10.6
NA	"Jacobson"	"maxdepth"	18.2
NA	"Jacobson"	"maxdepth"	5.4
NA	"Jacobson"	"maxdepth"	23.7
NA	"Jacobson"	"maxdepth"	10.9
NA	"Jacobson"	"maxdepth"	NA
NA	"Jacobson"	"maxdepth"	NA
NA	"Jacobson"	"maxdepth"	20.4
NA	"Jacobson"	"maxdepth"	7.3
NA	"Jacobson"	"maxdepth"	14.9
NA	"Jacobson"	"maxdepth"	8.2
NA	"Jacobson"	"maxdepth"	9.7
NA	"Jacobson"	"maxdepth"	25.6
NA	"Jacobson"	"maxdepth"	12.8
NA	"Jacobson"	"maxdepth"	18.2
NA	"Jacobson"	"maxdepth"	5.4
NA	"Jacobson"	"maxdepth"	5.4
NA	"Jacobson"	"maxdepth"	15.8
NA	"Jacobson"	"maxdepth"	NA
NA	"Jacobson"	"maxdepth"	3.9
NA	"Jacobson"	"maxdepth"	17.6
NA	"Jacobson"	"maxdepth"	6.4
NA	"Jacobson"	"maxdepth"	6.4
NA	"Jacobson"	"maxdepth"	8.5
NA	"Jacobson"	"maxdepth"	12.1
NA	"Jacobson"	"maxdepth"	13.7
NA	"Jacobson"	"maxdepth"	35.3
NA	"Jacobson"	"maxdepth"	15.5
NA	"Jacobson"	"maxdepth"	1.5
NA	"Jacobson"	"maxdepth"	7.3
NA	"Jacobson"	"maxdepth"	14.6
NA	"Jacobson"	"maxdepth"	13.4
NA	"Jacobson"	"maxdepth"	11.5
NA	"Jacobson"	"maxdepth"	12.8
NA	"Jacobson"	"maxdepth"	11.8
NA	"Jacobson"	"maxdepth"	11.2
NA	"Jacobson"	"maxdepth"	4.5
NA	"Jacobson"	"maxdepth"	25.6
NA	"Jacobson"	"maxdepth"	5.1
NA	"Jacobson"	"maxdepth"	9.4
NA	"Jacobson"	"maxdepth"	8.8
NA	"Jacobson"	"maxdepth"	7
NA	"Jacobson"	"maxdepth"	12.1
NA	"Jacobson"	"maxdepth"	9.7
NA	"Jacobson"	"maxdepth"	7.6
NA	"Jacobson"	"maxdepth"	18.2
NA	"Jacobson"	"maxdepth"	8.5
NA	"Jacobson"	"maxdepth"	11.2
NA	"Jacobson"	"maxdepth"	12.8
NA	"Jacobson"	"maxdepth"	11.5
NA	"Jacobson"	"maxdepth"	17.9
NA	"Jacobson"	"maxdepth"	4.2
NA	"Jacobson"	"maxdepth"	14.6
NA	"Jacobson"	"maxdepth"	13.7
NA	"Jacobson"	"maxdepth"	7.3
NA	"Jacobson"	"maxdepth"	11.8
NA	"Jacobson"	"maxdepth"	9.4
NA	"Jacobson"	"maxdepth"	7.9
NA	"Jacobson"	"maxdepth"	23.7
NA	"Jacobson"	"maxdepth"	5.4
NA	"Jacobson"	"maxdepth"	17
NA	"Jacobson"	"maxdepth"	13.4
NA	"Jacobson"	"maxdepth"	14.3
NA	"Jacobson"	"maxdepth"	18.2
NA	"Jacobson"	"maxdepth"	NA
NA	"Jacobson"	"maxdepth"	2.4
NA	"Jacobson"	"maxdepth"	20.4
NA	"Jacobson"	"maxdepth"	14.3
NA	"Jacobson"	"maxdepth"	10.6
NA	"Jacobson"	"maxdepth"	7.9
NA	"Jacobson"	"maxdepth"	6.4
NA	"Jacobson"	"maxdepth"	10
NA	"Jacobson"	"maxdepth"	13.4
NA	"Jacobson"	"maxdepth"	14.9
NA	"Jacobson"	"maxdepth"	9.7
NA	"Jacobson"	"maxdepth"	32.3
NA	"Jacobson"	"maxdepth"	10.3
NA	"Jacobson"	"maxdepth"	11.5
NA	"Jacobson"	"maxdepth"	25.9
NA	"Jacobson"	"maxdepth"	5.1
NA	"Jacobson"	"maxdepth"	7
NA	"Jacobson"	"maxdepth"	12.8
NA	"Jacobson"	"maxdepth"	2.7
NA	"Jacobson"	"maxdepth"	10
NA	"Jacobson"	"maxdepth"	17
NA	"Jacobson"	"maxdepth"	38
NA	"Jacobson"	"maxdepth"	21
NA	"Jacobson"	"maxdepth"	13.1
NA	"Jacobson"	"maxdepth"	32
NA	"Jacobson"	"maxdepth"	12.1
NA	"Jacobson"	"maxdepth"	31
NA	"Jacobson"	"maxdepth"	7.3
NA	"Jacobson"	"maxdepth"	14
NA	"Jacobson"	"maxdepth"	NA
NA	"Jacobson"	"maxdepth"	6.4
NA	"Jacobson"	"maxdepth"	5.4
NA	"Jacobson"	"maxdepth"	5.7
NA	"Jacobson"	"maxdepth"	4.8
NA	"Jacobson"	"maxdepth"	1.5
NA	"Jacobson"	"maxdepth"	1.9
NA	"Jacobson"	"maxdepth"	6.7
NA	"Jacobson"	"maxdepth"	12.8
NA	"Jacobson"	"maxdepth"	5.7
NA	"Jacobson"	"maxdepth"	6
NA	"Jacobson"	"maxdepth"	7
NA	"Jacobson"	"maxdepth"	8.2
NA	"Jacobson"	"maxdepth"	7.6
NA	"Jacobson"	"maxdepth"	6.7
NA	"Jacobson"	"maxdepth"	1.2
NA	"Jacobson"	"maxdepth"	3
NA	"Jacobson"	"maxdepth"	5.4
NA	"Jacobson"	"maxdepth"	1.2
NA	"Jacobson"	"maxdepth"	6.7
NA	"Jacobson"	"maxdepth"	6.7
NA	"Jacobson"	"maxdepth"	1.5
NA	"Jacobson"	"maxdepth"	7.9
NA	"Jacobson"	"maxdepth"	9.7
NA	"Jacobson"	"maxdepth"	6.4
NA	"Jacobson"	"maxdepth"	5.4
NA	"Jacobson"	"maxdepth"	20.7
NA	"Jacobson"	"maxdepth"	4.8
NA	"Jacobson"	"maxdepth"	10.9
NA	"Jacobson"	"maxdepth"	16.7
NA	"Jacobson"	"maxdepth"	6.4
NA	"Jacobson"	"maxdepth"	14.3
NA	"Jacobson"	"maxdepth"	8.8
NA	"Jacobson"	"maxdepth"	8.5
NA	"Jacobson"	"maxdepth"	19.2
NA	"Jacobson"	"maxdepth"	18.2
NA	"Jacobson"	"maxdepth"	6.4
NA	"Jacobson"	"maxdepth"	33.2
NA	"Jacobson"	"maxdepth"	6.7
NA	"Jacobson"	"maxdepth"	15.8
NA	"Jacobson"	"maxdepth"	9.7
NA	"Jacobson"	"maxdepth"	9.1
NA	"Jacobson"	"maxdepth"	9.7
NA	"Jacobson"	"maxdepth"	25.6
NA	"Jacobson"	"maxdepth"	8.5
NA	"Jacobson"	"maxdepth"	4.8
NA	"Jacobson"	"maxdepth"	4.8
NA	"Jacobson"	"maxdepth"	8.8
NA	"Jacobson"	"maxdepth"	10.6
NA	"Jacobson"	"maxdepth"	3.3
NA	"Jacobson"	"maxdepth"	14.6
NA	"Jacobson"	"maxdepth"	17.3
NA	"Jacobson"	"maxdepth"	23.7
NA	"Jacobson"	"maxdepth"	15.2
NA	"Jacobson"	"maxdepth"	11.5
NA	"Jacobson"	"maxdepth"	21
NA	"Jacobson"	"maxdepth"	22.2
NA	"Jacobson"	"maxdepth"	28
NA	"Jacobson"	"maxdepth"	23.1
NA	"Jacobson"	"maxdepth"	5.7
NA	"Jacobson"	"maxdepth"	18.2
NA	"Jacobson"	"maxdepth"	8.8
NA	"Jacobson"	"maxdepth"	11.2
NA	"Jacobson"	"maxdepth"	19.8
NA	"Jacobson"	"maxdepth"	6.4
NA	"Jacobson"	"maxdepth"	4.2
