"id","source","type","zmax"
"nhd_12227349","kevin","maxdepth",24.0792
"nhd_12227353","kevin","maxdepth",17.6784
"nhd_12227403","kevin","maxdepth",16.4592
"nhd_12228317","kevin","maxdepth",2.4384
"nhd_12228383","kevin","maxdepth",8.5344
"nhd_12228381","kevin","maxdepth",17.9832
"nhd_12227451","kevin","maxdepth",11.5824
"nhd_12227591","kevin","maxdepth",6.4008
"nhd_12228323","kevin","maxdepth",27.432
"nhd_12228333","kevin","maxdepth",53.6448
"nhd_12227137","kevin","maxdepth",11.5824
"nhd_12227189","kevin","maxdepth",16.4592
"nhd_12227161","kevin","maxdepth",10.0584
"nhd_12227141","kevin","maxdepth",10.0584
"nhd_12227221","kevin","maxdepth",7.62
"nhd_12227267","kevin","maxdepth",11.2776
"nhd_12227269","kevin","maxdepth",7.0104
NA,"kevin","maxdepth",4.572
"nhd_12950870","kevin","maxdepth",20.1168
"nhd_12256440","kevin","maxdepth",28.6512
"nhd_12256570","kevin","maxdepth",7.3152
NA,"kevin","maxdepth",8.5344
NA,"kevin","maxdepth",28.956
"nhd_12961453","kevin","maxdepth",25.2984
"nhd_12950816","kevin","maxdepth",7.62
NA,"kevin","maxdepth",7.3152
"nhd_12950818","kevin","maxdepth",16.764
"nhd_12950888","kevin","maxdepth",10.668
"nhd_12961497","kevin","maxdepth",4.2672
"nhd_12961507","kevin","maxdepth",2.7432
NA,"kevin","maxdepth",12.192
NA,"kevin","maxdepth",25.6032
"nhd_12259064","kevin","maxdepth",19.812
"nhd_12258976","kevin","maxdepth",14.0208
"nhd_12950896","kevin","maxdepth",24.9936
"nhd_12255062","kevin","maxdepth",7.62
"nhd_12258506","kevin","maxdepth",16.4592
"nhd_12254990","kevin","maxdepth",4.8768
"nhd_12255016","kevin","maxdepth",9.4488
"nhd_12255036","kevin","maxdepth",10.668
"nhd_167552427","kevin","maxdepth",11.2776
"nhd_12950898","kevin","maxdepth",10.668
"nhd_12257268","kevin","maxdepth",19.2024
"nhd_12258642","kevin","maxdepth",5.4864
"nhd_12258758","kevin","maxdepth",12.8016
"nhd_12258658","kevin","maxdepth",10.9728
NA,"kevin","maxdepth",17.3736
"nhd_12257394","kevin","maxdepth",4.572
"nhd_12257406","kevin","maxdepth",14.0208
"nhd_12258870","kevin","maxdepth",23.1648
"nhd_12257446","kevin","maxdepth",28.3464
"nhd_3471559","kevin","maxdepth",14.0208
"nhd_3469173","kevin","maxdepth",6.7056
"nhd_3469019","kevin","maxdepth",7.0104
"nhd_3471913","kevin","maxdepth",8.2296
"nhd_3471855","kevin","maxdepth",14.6304
"nhd_3471887","kevin","maxdepth",20.7264
"nhd_3469399","kevin","maxdepth",10.3632
"nhd_3469399","kevin","maxdepth",12.192
"nhd_12253764","kevin","maxdepth",6.096
"nhd_12253770","kevin","maxdepth",5.4864
"nhd_12254816","kevin","maxdepth",14.6304
"nhd_3471991","kevin","maxdepth",10.0584
"nhd_12254854","kevin","maxdepth",7.3152
"nhd_12254894","kevin","maxdepth",6.096
"nhd_3468967","kevin","maxdepth",7.3152
"nhd_3468795","kevin","maxdepth",15.5448
"nhd_12258682","kevin","maxdepth",4.572
"nhd_12258704","kevin","maxdepth",17.9832
"nhd_12258798","kevin","maxdepth",2.1336
"nhd_12258768","kevin","maxdepth",9.144
"nhd_12255004","kevin","maxdepth",22.5552
"nhd_12255094","kevin","maxdepth",11.5824
"nhd_12258766","kevin","maxdepth",19.5072
"nhd_12258770","kevin","maxdepth",21.6408
"nhd_12263532","kevin","maxdepth",17.9832
"nhd_12258826","kevin","maxdepth",28.6512
NA,"kevin","maxdepth",2.4384
NA,"kevin","maxdepth",22.86
"nhd_12258938","kevin","maxdepth",16.764
"nhd_12258812","kevin","maxdepth",18.288
"nhd_12258890","kevin","maxdepth",13.4112
"nhd_12258552","kevin","maxdepth",6.7056
"nhd_12259048","kevin","maxdepth",17.3736
"nhd_12259036","kevin","maxdepth",14.6304
"nhd_167552424","kevin","maxdepth",12.4968
"nhd_12263666","kevin","maxdepth",10.9728
"nhd_12263676","kevin","maxdepth",7.0104
"nhd_12263678","kevin","maxdepth",7.62
"nhd_12263720","kevin","maxdepth",12.8016
"nhd_12255042","kevin","maxdepth",17.3736
"nhd_12255028","kevin","maxdepth",13.716
"nhd_12255088","kevin","maxdepth",3.3528
NA,"kevin","maxdepth",10.3632
"nhd_12258562","kevin","maxdepth",12.8016
"nhd_12256582","kevin","maxdepth",16.764
"nhd_12256586","kevin","maxdepth",12.4968
"nhd_12255028","kevin","maxdepth",11.2776
"nhd_12256594","kevin","maxdepth",13.4112
"nhd_12256562","kevin","maxdepth",12.4968
"nhd_12256550","kevin","maxdepth",14.6304
"nhd_12502491","kevin","maxdepth",10.3632
"nhd_13054946","kevin","maxdepth",6.096
