"id"	"source"	"type"	"zmax"
"nhd_1790479"	"lagos"	"maxdepth"	5.2
"nhd_7108791"	"lagos"	"maxdepth"	5.5
"nhd_2032351"	"lagos"	"maxdepth"	9.4
"nhd_2721971"	"lagos"	"maxdepth"	18.3
"nhd_2628694"	"lagos"	"maxdepth"	4.9
"nhd_7151618"	"lagos"	"maxdepth"	46
"nhd_2442978"	"lagos"	"maxdepth"	1.02
"nhd_2385060"	"lagos"	"maxdepth"	4
"nhd_4250322"	"lagos"	"maxdepth"	NA
NA	"lagos"	"maxdepth"	3.5
"nhd_4123864"	"lagos"	"maxdepth"	2
NA	"lagos"	"maxdepth"	51.5
"nhd_2646854"	"lagos"	"maxdepth"	9.39
"nhd_1776146"	"lagos"	"maxdepth"	6.7
"nhd_4103107"	"lagos"	"maxdepth"	NA
"nhd_4251408"	"lagos"	"maxdepth"	20
"nhd_2646820"	"lagos"	"maxdepth"	5
NA	"lagos"	"maxdepth"	5.182
NA	"lagos"	"maxdepth"	3.6
"nhd_1101662"	"lagos"	"maxdepth"	22.63
"nhd_4839462"	"lagos"	"maxdepth"	5
"nhd_1101868"	"lagos"	"maxdepth"	1
NA	"lagos"	"maxdepth"	16.166
"nhd_2031671"	"lagos"	"maxdepth"	2.1
"nhd_1101626"	"lagos"	"maxdepth"	7
"nhd_4980394"	"lagos"	"maxdepth"	2.44
"nhd_1099278"	"lagos"	"maxdepth"	5.5
NA	"lagos"	"maxdepth"	4.4
"nhd_7107795"	"lagos"	"maxdepth"	18
NA	"lagos"	"maxdepth"	14.2
"nhd_2646746"	"lagos"	"maxdepth"	9.7
"nhd_4802228"	"lagos"	"maxdepth"	10
"nhd_2647036"	"lagos"	"maxdepth"	14.6
NA	"lagos"	"maxdepth"	8
"nhd_7107795"	"lagos"	"maxdepth"	14
"nhd_1099454"	"lagos"	"maxdepth"	1.202
"nhd_1101500"	"lagos"	"maxdepth"	3.047
"nhd_2116316"	"lagos"	"maxdepth"	11
NA	"lagos"	"maxdepth"	7.6
NA	"lagos"	"maxdepth"	2.134
"nhd_4981350"	"lagos"	"maxdepth"	6
"nhd_120053301"	"lagos"	"maxdepth"	28
"nhd_7107519"	"lagos"	"maxdepth"	10.5
NA	"lagos"	"maxdepth"	3.5
"nhd_6654769"	"lagos"	"maxdepth"	13
"nhd_2116312"	"lagos"	"maxdepth"	7.3
NA	"lagos"	"maxdepth"	3
"nhd_4821725"	"lagos"	"maxdepth"	23
NA	"lagos"	"maxdepth"	8.8
"nhd_4412420"	"lagos"	"maxdepth"	1.1
"nhd_4802130"	"lagos"	"maxdepth"	5
"nhd_4831020"	"lagos"	"maxdepth"	1
"nhd_120053088"	"lagos"	"maxdepth"	18.7
"nhd_1099588"	"lagos"	"maxdepth"	2.745
"nhd_7053191"	"lagos"	"maxdepth"	4.5
"nhd_4978640"	"lagos"	"maxdepth"	14.63
NA	"lagos"	"maxdepth"	2.803
"nhd_4413566"	"lagos"	"maxdepth"	4.4
"nhd_2646606"	"lagos"	"maxdepth"	12.3
"nhd_6579632"	"lagos"	"maxdepth"	2
"nhd_1849933"	"lagos"	"maxdepth"	1
NA	"lagos"	"maxdepth"	12.5
NA	"lagos"	"maxdepth"	2.02
"nhd_2354274"	"lagos"	"maxdepth"	1.1
"nhd_22323757"	"lagos"	"maxdepth"	12.8
"nhd_4413696"	"lagos"	"maxdepth"	4
"nhd_9006809"	"lagos"	"maxdepth"	8.5344
"nhd_4796794"	"lagos"	"maxdepth"	1.8
"nhd_2721669"	"lagos"	"maxdepth"	2.4
"nhd_4858211"	"lagos"	"maxdepth"	7
"nhd_2651310"	"lagos"	"maxdepth"	41.8
"nhd_13394489"	"lagos"	"maxdepth"	2.1336
"nhd_8988476"	"lagos"	"maxdepth"	2.1336
"nhd_6792189"	"lagos"	"maxdepth"	10.668
"nhd_12200568"	"lagos"	"maxdepth"	3.048
"nhd_6794425"	"lagos"	"maxdepth"	2.1336
"nhd_4942465"	"lagos"	"maxdepth"	10.7
"nhd_6792393"	"lagos"	"maxdepth"	10.668
"nhd_6658711"	"lagos"	"maxdepth"	19.5
"nhd_13104065"	"lagos"	"maxdepth"	8.2296
"nhd_4046774"	"lagos"	"maxdepth"	2.4
"nhd_4796542"	"lagos"	"maxdepth"	3.7
"nhd_4821889"	"lagos"	"maxdepth"	8.8
"nhd_6655293"	"lagos"	"maxdepth"	9.1
"nhd_4620600"	"lagos"	"maxdepth"	8.8
"nhd_9029623"	"lagos"	"maxdepth"	9.7536
"nhd_4839810"	"lagos"	"maxdepth"	44.8
"nhd_4619930"	"lagos"	"maxdepth"	21.3
"nhd_4839530"	"lagos"	"maxdepth"	9.8
"nhd_2031703"	"lagos"	"maxdepth"	14.3
"nhd_4859169"	"lagos"	"maxdepth"	8.8
"nhd_6580654"	"lagos"	"maxdepth"	2.7
"nhd_271501"	"lagos"	"maxdepth"	8.5344
"nhd_4123858"	"lagos"	"maxdepth"	3.7
"nhd_2388612"	"lagos"	"maxdepth"	5.3
"nhd_4141934"	"lagos"	"maxdepth"	1.5
"nhd_2262585"	"lagos"	"maxdepth"	14.3
"nhd_4415336"	"lagos"	"maxdepth"	1
"nhd_13174645"	"lagos"	"maxdepth"	10.668
NA	"lagos"	"maxdepth"	8.2296
"nhd_6658551"	"lagos"	"maxdepth"	36.6
"nhd_13173159"	"lagos"	"maxdepth"	8.5344
"nhd_4250476"	"lagos"	"maxdepth"	6.7
"nhd_4792872"	"lagos"	"maxdepth"	25
"nhd_12133864"	"lagos"	"maxdepth"	5.2
"nhd_4971385"	"lagos"	"maxdepth"	10.4
"nhd_2647860"	"lagos"	"maxdepth"	10.668
NA	"lagos"	"maxdepth"	11.6
"nhd_12258768"	"lagos"	"maxdepth"	5.1816
"nhd_6658837"	"lagos"	"maxdepth"	23.5
NA	"lagos"	"maxdepth"	3.048
"nhd_12502745"	"lagos"	"maxdepth"	3.3528
"nhd_7138318"	"lagos"	"maxdepth"	2.4
"nhd_12960053"	"lagos"	"maxdepth"	24.4
"nhd_13209668"	"lagos"	"maxdepth"	3.048
"nhd_2031739"	"lagos"	"maxdepth"	20.4
"nhd_13393543"	"lagos"	"maxdepth"	3.3528
"nhd_12175160"	"lagos"	"maxdepth"	11.2776
"nhd_13290922"	"lagos"	"maxdepth"	16.1544
"nhd_13131907"	"lagos"	"maxdepth"	9.7536
"nhd_120052044"	"lagos"	"maxdepth"	2.1
"nhd_2639384"	"lagos"	"maxdepth"	5.2
"nhd_13294824"	"lagos"	"maxdepth"	10.668
"nhd_4141086"	"lagos"	"maxdepth"	11.3
"nhd_4796460"	"lagos"	"maxdepth"	2.7
"nhd_7153494"	"lagos"	"maxdepth"	5.5
NA	"lagos"	"maxdepth"	15.5448
"nhd_13343454"	"lagos"	"maxdepth"	18.5928
NA	"lagos"	"maxdepth"	15.24
NA	"lagos"	"maxdepth"	9.8
"nhd_2385496"	"lagos"	"maxdepth"	10.4
"nhd_4795556"	"lagos"	"maxdepth"	14
"nhd_14726532"	"lagos"	"maxdepth"	6.7056
"nhd_12954210"	"lagos"	"maxdepth"	7.6
"nhd_4413500"	"lagos"	"maxdepth"	10.4
"nhd_13395273"	"lagos"	"maxdepth"	8.5344
"nhd_2354324"	"lagos"	"maxdepth"	1.8
"nhd_2384520"	"lagos"	"maxdepth"	10.4
"nhd_12952038"	"lagos"	"maxdepth"	29.6
"nhd_6658833"	"lagos"	"maxdepth"	34.4
"nhd_120052016"	"lagos"	"maxdepth"	7
"nhd_2630930"	"lagos"	"maxdepth"	46.6
"nhd_11959162"	"lagos"	"maxdepth"	6.7056
"nhd_12227267"	"lagos"	"maxdepth"	6.4008
"nhd_6580704"	"lagos"	"maxdepth"	2.079
"nhd_9028531"	"lagos"	"maxdepth"	6.4008
"nhd_2628378"	"lagos"	"maxdepth"	27.4
"nhd_2647106"	"lagos"	"maxdepth"	11.3
"nhd_2262661"	"lagos"	"maxdepth"	7.3
"nhd_4796316"	"lagos"	"maxdepth"	1.5
"nhd_4840046"	"lagos"	"maxdepth"	11.3
"nhd_4971593"	"lagos"	"maxdepth"	26.8
"nhd_1790651"	"lagos"	"maxdepth"	5.8
"nhd_2354500"	"lagos"	"maxdepth"	2.1
NA	"lagos"	"maxdepth"	13.1064
NA	"lagos"	"maxdepth"	9.1
"nhd_13117748"	"lagos"	"maxdepth"	6.7056
"nhd_22238596"	"lagos"	"maxdepth"	12.8
"nhd_13393489"	"lagos"	"maxdepth"	14.6304
"nhd_4942039"	"lagos"	"maxdepth"	14
"nhd_7095257"	"lagos"	"maxdepth"	30.5
"nhd_2260775"	"lagos"	"maxdepth"	2.1336
"nhd_13394825"	"lagos"	"maxdepth"	5.1816
"nhd_22325149"	"lagos"	"maxdepth"	2.7
"nhd_4793182"	"lagos"	"maxdepth"	21.3
NA	"lagos"	"maxdepth"	1.8
"nhd_12220020"	"lagos"	"maxdepth"	5.1816
"nhd_13183762"	"lagos"	"maxdepth"	17.9832
"nhd_4796534"	"lagos"	"maxdepth"	5.2
"nhd_13391709"	"lagos"	"maxdepth"	6.4008
"nhd_13395261"	"lagos"	"maxdepth"	2.1336
"nhd_120052896"	"lagos"	"maxdepth"	21.3
"nhd_167204342"	"lagos"	"maxdepth"	19.8
"nhd_6864433"	"lagos"	"maxdepth"	13.716
"nhd_7152976"	"lagos"	"maxdepth"	29
"nhd_4136948"	"lagos"	"maxdepth"	2.1
"nhd_4840232"	"lagos"	"maxdepth"	9.8
"nhd_4851965"	"lagos"	"maxdepth"	11.6
"nhd_4852147"	"lagos"	"maxdepth"	11.3
"nhd_6816892"	"lagos"	"maxdepth"	3.3528
"nhd_2721831"	"lagos"	"maxdepth"	5.8
"nhd_7107533"	"lagos"	"maxdepth"	12.8
NA	"lagos"	"maxdepth"	6.4008
"nhd_167122172"	"lagos"	"maxdepth"	21.3
"nhd_2264299"	"lagos"	"maxdepth"	15.24
NA	"lagos"	"maxdepth"	40.002
"nhd_7102141"	"lagos"	"maxdepth"	9.1
"nhd_3471543"	"lagos"	"maxdepth"	7.7724
"nhd_4796306"	"lagos"	"maxdepth"	23.5
"nhd_2648034"	"lagos"	"maxdepth"	5.5
"nhd_13121212"	"lagos"	"maxdepth"	14.6304
"nhd_3471887"	"lagos"	"maxdepth"	11.2776
NA	"lagos"	"maxdepth"	11.3
"nhd_6830533"	"lagos"	"maxdepth"	16.764
"nhd_6792463"	"lagos"	"maxdepth"	8.2296
NA	"lagos"	"maxdepth"	18.6
"nhd_166766657"	"lagos"	"maxdepth"	12.8016
"nhd_2647328"	"lagos"	"maxdepth"	8.5344
NA	"lagos"	"maxdepth"	11.2776
"nhd_12257326"	"lagos"	"maxdepth"	10.668
"nhd_6840581"	"lagos"	"maxdepth"	11.2776
"nhd_1792743"	"lagos"	"maxdepth"	11.3
"nhd_8990800"	"lagos"	"maxdepth"	10.668
"nhd_12132036"	"lagos"	"maxdepth"	8.2296
"nhd_9036199"	"lagos"	"maxdepth"	15.8496
"nhd_9026537"	"lagos"	"maxdepth"	3.3528
NA	"lagos"	"maxdepth"	6.4008
"nhd_4793190"	"lagos"	"maxdepth"	21.3
"nhd_4619130"	"lagos"	"maxdepth"	15.5
"nhd_7095449"	"lagos"	"maxdepth"	21.3
"nhd_4817521"	"lagos"	"maxdepth"	3.7
"nhd_22324571"	"lagos"	"maxdepth"	36.6
"nhd_13394383"	"lagos"	"maxdepth"	11.8872
"nhd_1101882"	"lagos"	"maxdepth"	4
"nhd_11949273"	"lagos"	"maxdepth"	6.4008
"nhd_2628386"	"lagos"	"maxdepth"	11.3
"nhd_13393793"	"lagos"	"maxdepth"	12.8016
"nhd_13395467"	"lagos"	"maxdepth"	9.7536
"nhd_6842333"	"lagos"	"maxdepth"	4.572
NA	"lagos"	"maxdepth"	1.8288
"nhd_4796328"	"lagos"	"maxdepth"	4.6
"nhd_12259078"	"lagos"	"maxdepth"	7.9
"nhd_13227598"	"lagos"	"maxdepth"	9.4488
NA	"lagos"	"maxdepth"	5.4864
"nhd_4855689"	"lagos"	"maxdepth"	13.7
NA	"lagos"	"maxdepth"	3.9624
"nhd_6640180"	"lagos"	"maxdepth"	4
"nhd_13029599"	"lagos"	"maxdepth"	13.4112
"nhd_7096207"	"lagos"	"maxdepth"	18
"nhd_9006933"	"lagos"	"maxdepth"	11
"nhd_9018829"	"lagos"	"maxdepth"	9.8
"nhd_13393329"	"lagos"	"maxdepth"	4.572
"nhd_7152712"	"lagos"	"maxdepth"	5.8
"nhd_13044983"	"lagos"	"maxdepth"	7.62
"nhd_13346426"	"lagos"	"maxdepth"	10.0584
"nhd_14705890"	"lagos"	"maxdepth"	3.9624
