"id"	"source"	"type"	"zmax"
"nhd_2630828"	"mn_lakelist"	"maxdepth"	8.5344
"nhd_2630548"	"mn_lakelist"	"maxdepth"	2.4384
"nhd_4852317"	"mn_lakelist"	"maxdepth"	NA
"nhd_4852321"	"mn_lakelist"	"maxdepth"	NA
"nhd_4840370"	"mn_lakelist"	"maxdepth"	NA
"nhd_4840248"	"mn_lakelist"	"maxdepth"	NA
"nhd_4840308"	"mn_lakelist"	"maxdepth"	NA
"nhd_4840270"	"mn_lakelist"	"maxdepth"	NA
"nhd_4840278"	"mn_lakelist"	"maxdepth"	11.8872
"nhd_4840296"	"mn_lakelist"	"maxdepth"	NA
"nhd_4840272"	"mn_lakelist"	"maxdepth"	NA
"nhd_4840264"	"mn_lakelist"	"maxdepth"	NA
"nhd_4840332"	"mn_lakelist"	"maxdepth"	NA
"nhd_4839778"	"mn_lakelist"	"maxdepth"	7.0104
"nhd_4839804"	"mn_lakelist"	"maxdepth"	7.0104
"nhd_4839838"	"mn_lakelist"	"maxdepth"	NA
"nhd_4839848"	"mn_lakelist"	"maxdepth"	NA
"nhd_4839840"	"mn_lakelist"	"maxdepth"	NA
"nhd_1778228"	"mn_lakelist"	"maxdepth"	9.4488
"nhd_1778202"	"mn_lakelist"	"maxdepth"	NA
"nhd_1774924"	"mn_lakelist"	"maxdepth"	NA
"nhd_4840028"	"mn_lakelist"	"maxdepth"	7.62
"nhd_4840114"	"mn_lakelist"	"maxdepth"	8.2296
"nhd_4839812"	"mn_lakelist"	"maxdepth"	6.4008
"nhd_2636918"	"mn_lakelist"	"maxdepth"	NA
"nhd_4840376"	"mn_lakelist"	"maxdepth"	NA
"nhd_4852249"	"mn_lakelist"	"maxdepth"	24.384
"nhd_4852283"	"mn_lakelist"	"maxdepth"	9.7536
"nhd_4852071"	"mn_lakelist"	"maxdepth"	NA
"nhd_4840024"	"mn_lakelist"	"maxdepth"	4.8768
"nhd_4840046"	"mn_lakelist"	"maxdepth"	11.2776
