"id","source","type","zmax"
"nhd_NA","swimms","maxdepth",NA
"nhd_13134687","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",1.8288
"nhd_NA","swimms","maxdepth",1.524
"nhd_NA","swimms","maxdepth",2.1336
"nhd_NA","swimms","maxdepth",14.6304
"nhd_14726574","swimms","maxdepth",7.62
"nhd_9026497","swimms","maxdepth",18.288
"nhd_9035799","swimms","maxdepth",13.4112
"nhd_NA","swimms","maxdepth",4.2672
"nhd_NA","swimms","maxdepth",7.62
"nhd_13120926","swimms","maxdepth",3.048
"nhd_1850035","swimms","maxdepth",10.9728
"nhd_13391677","swimms","maxdepth",12.192
"nhd_NA","swimms","maxdepth",8.2296
"nhd_1797583","swimms","maxdepth",7.3152
"nhd_14726248","swimms","maxdepth",3.048
"nhd_2643960","swimms","maxdepth",8.5344
"nhd_NA","swimms","maxdepth",2.4384
"nhd_13343802","swimms","maxdepth",9.144
"nhd_2264317","swimms","maxdepth",9.7536
"nhd_NA","swimms","maxdepth",7.9248
"nhd_13290734","swimms","maxdepth",3.048
"nhd_NA","swimms","maxdepth",1.8288
"nhd_13394033","swimms","maxdepth",3.6576
"nhd_1812701","swimms","maxdepth",NA
"nhd_NA","swimms","maxdepth",10.9728
"nhd_1849627","swimms","maxdepth",3.048
"nhd_14726388","swimms","maxdepth",3.6576
"nhd_13394297","swimms","maxdepth",6.4008
"nhd_13395197","swimms","maxdepth",4.572
"nhd_NA","swimms","maxdepth",12.192
"nhd_NA","swimms","maxdepth",3.048
"nhd_13344056","swimms","maxdepth",7.3152
"nhd_13344132","swimms","maxdepth",2.7432
"nhd_NA","swimms","maxdepth",5.1816
"nhd_NA","swimms","maxdepth",3.6576
"nhd_NA","swimms","maxdepth",10.3632
"nhd_13393757","swimms","maxdepth",5.4864
"nhd_9036279","swimms","maxdepth",5.4864
"nhd_NA","swimms","maxdepth",5.1816
"nhd_13345550","swimms","maxdepth",8.2296
"nhd_13097728","swimms","maxdepth",7.62
"nhd_13394773","swimms","maxdepth",13.1064
"nhd_13123946","swimms","maxdepth",6.096
"nhd_6792473","swimms","maxdepth",8.8392
"nhd_14726180","swimms","maxdepth",7.62
"nhd_13345308","swimms","maxdepth",6.096
"nhd_6866617","swimms","maxdepth",2.7432
"nhd_9035759","swimms","maxdepth",2.1336
"nhd_12991001","swimms","maxdepth",2.4384
"nhd_1803579","swimms","maxdepth",9.4488
"nhd_13290746","swimms","maxdepth",11.2776
"nhd_NA","swimms","maxdepth",5.1816
"nhd_14726614","swimms","maxdepth",3.3528
"nhd_13391465","swimms","maxdepth",19.2024
"nhd_13102651","swimms","maxdepth",7.62
"nhd_NA","swimms","maxdepth",7.0104
"nhd_13078935","swimms","maxdepth",5.1816
"nhd_13131927","swimms","maxdepth",3.3528
"nhd_NA","swimms","maxdepth",1.8288
"nhd_6808690","swimms","maxdepth",12.192
"nhd_NA","swimms","maxdepth",12.8016
"nhd_NA","swimms","maxdepth",3.3528
"nhd_1816209","swimms","maxdepth",14.0208
"nhd_NA","swimms","maxdepth",0.6096
"nhd_13393769","swimms","maxdepth",NA
"nhd_2267449","swimms","maxdepth",3.6576
"nhd_13394853","swimms","maxdepth",3.6576
"nhd_2453844","swimms","maxdepth",2.4384
"nhd_NA","swimms","maxdepth",2.4384
"nhd_1797457","swimms","maxdepth",3.9624
"nhd_14726544","swimms","maxdepth",7.62
"nhd_9028461","swimms","maxdepth",6.7056
"nhd_2266243","swimms","maxdepth",1.8288
"nhd_NA","swimms","maxdepth",8.8392
"nhd_6792319","swimms","maxdepth",9.144
"nhd_13343414","swimms","maxdepth",23.4696
"nhd_6791973","swimms","maxdepth",5.7912
"nhd_1816257","swimms","maxdepth",9.4488
"nhd_NA","swimms","maxdepth",2.1336
"nhd_2644196","swimms","maxdepth",6.7056
"nhd_13393597","swimms","maxdepth",9.7536
"nhd_12990873","swimms","maxdepth",1.524
"nhd_NA","swimms","maxdepth",12.28344
"nhd_NA","swimms","maxdepth",3.3528
"nhd_2646764","swimms","maxdepth",5.4864
"nhd_13290976","swimms","maxdepth",1.524
"nhd_13062929","swimms","maxdepth",0.6096
"nhd_13394013","swimms","maxdepth",6.096
"nhd_9026447","swimms","maxdepth",8.5344
"nhd_13134705","swimms","maxdepth",15.24
"nhd_6808194","swimms","maxdepth",15.24
"nhd_NA","swimms","maxdepth",2.4384
"nhd_NA","swimms","maxdepth",3.048
"nhd_14704124","swimms","maxdepth",3.2004
"nhd_6792255","swimms","maxdepth",17.0688
"nhd_1816293","swimms","maxdepth",10.668
"nhd_14767830","swimms","maxdepth",5.1816
"nhd_NA","swimms","maxdepth",3.3528
"nhd_1816277","swimms","maxdepth",12.192
"nhd_13393747","swimms","maxdepth",13.1064
