DOW Number,Name,Area (ha),LakeMaxDepth (m),MeanDepth (m),GeometryRatio,Cisco
29031000,Brush,35.6,5.2,2.438281012,4.7,No
31079500,South Ackerman,8.9,,,,No
69046400,Lower Pauness,63.2,11,,2.56,No
69046500,Upper Pauness,65.6,4.4,,6.47,No
36003900,Silversack,7.7,7.2,,2.31,No
38028500,Swamp,13.4,0.7,,27.33,No
01007101,Davis,18.2,9.8,,2.11,No
19026700,Unamed,5.5,5.2,2.895458702,2.95,No
27007300,Smetana,23.9,3.7,1.523925632,5.98,No
27002800,Cornelia,20.9,2,,10.69,No
19045600,Cobblestone,15,5.5,,3.58,No
04001200,MEDICINE,180.5,13.4,,2.73,No
01000100,"PINE, SOUTH BIG",150.6,8.5,6.09570253,4.1,No
01000900,DOUGLAS,30.3,11.8,4.266991771,1.97,No
01001400,SAVANNA,36.8,7,3.962206644,3.51,No
01001500,GREEN,27.5,7,,3.26,No
01001900,WOLF,68,9.4,,3.03,No
01002200,ISLAND,98.3,7.6,,4.13,No
01002300,ROUND,233.6,8.2,,4.75,No
01002400,TOWN LINE,13.3,6.4,,2.98,No
01002700,SHERIFF,34.4,24.3,,0.99,No
01002800,STARVATION,26.7,9.7,3.657421518,2.33,No
01003100,ANDERSON,34.8,4.8,0.914355379,4.98,No
01003200,CAMP,5.2,11.2,3.047851265,1.34,No
01003300,MINNEWAWA,1017,6.4,2.499238037,8.82,No
01003400,HORSESHOE,95.9,3.6,2.133495885,8.55,No
01003600,WAKEFIELD,59.9,21,3.962206644,1.32,No
01003800,REMOTE,53.4,14.3,1.828710759,1.88,No
01004000,AITKIN,197.1,10.6,,3.51,Yes
01004200,GLACIER,53.8,18.2,,1.48,No
01004500,BLACKFACE,69.6,5.4,,5.26,No
01004600,BALL BLUFF,64.3,23.7,7.619628162,1.19,Yes
01004900,BAY,26.3,10.9,,2.06,No
01005200,,,,,,No
01005400,,,,,,No
01005500,BOOT,31.5,20.4,,1.16,No
01005600,CUTAWAY,45.7,7.3,,3.55,No
01005700,BALL BLUFF,13.7,14.9,,1.28,Yes
01005800,VANDUSE,93.1,8.2,2.499238037,3.77,No
01005900,HAY,42.9,9.7,4.266991771,2.62,No
01006200,"SANDY, BIG",2642.1,25.6,,2.8,Yes
01006300,BASS,34.8,12.8,,1.89,No
01006400,BEAR,53,18.2,3.047851265,1.47,No
01006500,CEDAR,93.9,5.4,2.438281012,5.67,No
01006900,PORTAGE,127.9,5.4,,6.13,No
01007000,ROUND,75.3,15.8,,1.85,Yes
01007100,,,,,,No
01007200,ROCK,128.3,3.9,,8.49,No
01007300,BASS,23,17.6,,1.23,Yes
01007400,TURNER,24.6,6.4,2.438281012,3.48,No
01007700,RAT,163.9,6.4,,5.59,No
01007800,BROWN,32.3,8.5,,2.79,No
01008300,TOWNLINE,24.6,12.1,4.876562024,1.82,No
01008700,SUGAR,161.1,13.7,,2.59,No
01008900,LONG,168,35.3,9.143553795,1.01,Yes
01009100,RABBIT,86.6,15.5,5.790917403,1.96,No
01009200,SWAMP,110.5,1.5,,21.27,No
01009300,CLEAR,227.5,7.3,,5.3,No
01009600,DAM,259.9,14.6,5.790917403,2.74,Yes
01009900,GUN,295.5,13.4,5.486132277,3.09,No
01010000,JENKINS,44.9,11.5,5.486132277,2.23,No
01010100,LONG,13.7,12.8,1.219140506,1.5,No
01010200,WILKINS,150.6,11.8,6.09570253,2.94,No
01010400,FRENCH,55.4,11.2,,2.41,No
01010500,FLEMING,119.8,4.5,1.828710759,7.23,No
01010900,TAYLOR,21.1,25.6,7.010057909,0.83,Yes
01011500,WLADIMIRAF,170.4,5.1,,6.97,No
01011600,SETH,48.9,9.4,2.438281012,2.8,No
01011700,NORD,166.5,8.8,,4.06,No
01011800,RASPBERRY,8.5,7,,2.43,No
01012000,SECTION 12,63.1,12.1,,2.31,No
01012200,SWEETMAN,9.7,9.7,,1.81,No
01012300,ELM ISLAND,211.3,7.6,2.743066138,5,No
01012500,LONE,181.3,18.2,,2,No
01012600,SJODINE,19,8.5,,2.44,No
01012900,SISSABAGAMAH,147.7,11.2,,3.09,No
01013200,HANSEN,54.6,12.8,,2.12,No
01013600,WAUKENABO,260.7,11.5,,3.46,No
01013700,ROUND,256.2,17.9,,2.22,No
01014100,PREVIS,8.5,4.2,,4,No
01014200,HILL,367.2,14.6,6.644315757,2.99,No
01014400,HILLS,7.6,13.7,,1.21,No
01014500,CHAMBERLIN,4,7.3,,1.93,No
01014600,RIPPLE,225.1,11.8,,3.25,Yes
01014700,ESQUAGAMAH,345.3,9.4,3.962206644,4.56,No
01015400,HORSESHOE,21.4,7.9,3.352636391,2.71,No
01015700,PINE,248.5,23.7,,1.67,No
01015800,GREGG,12.5,5.4,,3.43,No
01015900,FARM ISLAND,831.5,17,,3.14,Yes
01016100,HAMMAL,151.2,13.4,3.200243828,2.61,No
01016300,TAYLOR,20.2,14.3,,1.48,No
01016500,BLACK SHADOW,6.8,18.2,,0.88,No
01016600,,,,,,No
01016700,PINE ISLAND,24.2,2.4,,9.1,No
01016800,HILL,10.5,20.4,,0.88,No
01016900,BACHELOR,21.4,14.3,,1.5,No
01017000,HANGING KETTLE,122.2,10.6,4.876562024,3.11,Yes
01017100,DIAMOND,29.5,7.9,3.352636391,2.94,No
01017400,THORNTON,87.2,6.4,2.133495885,4.77,No
01017500,DUMMER,12.5,10,,1.87,No
01017600,PINE,89,13.4,,2.29,Yes
01017800,SPIRIT,214.5,14.9,4.571776897,2.56,Yes
01017900,HICKORY,79.7,9.7,,3.06,Yes
01018100,BLUE,19,32.3,9.143553795,0.64,No
01018200,Pickerel,35.2,10.3,3.657421518,2.35,No
01018300,BASS,10.9,11.5,,1.56,No
01018500,DOGFISH,11.7,25.9,,0.71,No
01018800,BLIND,149.7,5.1,,6.75,No
01019000,STARRY,31.5,7,,3.38,No
