attribute,Species,Hypothesized mechanism,Specific metric,Output details,Reference,Range,units
year,NA,NA,simulated year,simulated year,,,year
WBDY_WBIC,NA,NA,Water Body Identification Code,Wisconsin Department of Natural Resources Water Body Identification Code (WBIC),,,nA
days_12_28,wae,less oxy-thermal habitat,Optimal age 0 thermal habitat days,days in which there is any part of water column between 12-28 degrees C,Wismer and Christie 1987,28-Dec,days
height_12_28,wae,less oxy-thermal habitat,Optimal age 0 thermal habitat meters,meters of water between 12-28 degrees C,Wismer and Christie 1987,28-Dec,linear distance (m)
vol_12_28,wae,less oxy-thermal habitat,Optimal age 0 thermal habitat volume,volume of water between 12-28 degrees C,Wismer and Christie 1987,28-Dec,volume (m^3*1000)
days_10.6_11.2,wae,less oxy-thermal habitat,Optimal larval thermal habitat days,days in which there is any part of water column between 10.6-11.2 degrees C,Wismer and Christie 1987,10.6-11.2,days
height_10.6_11.2,wae,less oxy-thermal habitat,Optimal larval thermal habitat meters,meters of water between 10.6-11.2 degrees C,Wismer and Christie 1987,10.6-11.2,linear distance (m)
vol_10.6_11.2,wae,less oxy-thermal habitat,Optimal larval thermal habitat volume,volume of water between 10.6-11.2 degrees C,Wismer and Christie 1987,10.6-11.2,volume (m^3*1000)
days_18.2_28.2,wae,less oxy-thermal habitat,Good growth habitat days,days in which there is any part of water column between 18.2-28.2 degrees C,Fang et al 2004,18.2-28.2,days
height_18.2_28.2,wae,less oxy-thermal habitat,Good growth habitat meters,meters of water between 18.2-28.2 degrees C,Fang et al 2004,18.2-28.2,linear distance (m)
vol_18.2_28.2,wae,less oxy-thermal habitat,Good growth habitat volume,volume of water between 18.2-28.2 degrees C,Fang et al 2004,18.2-28.2,volume (m^3*1000)
days_18_22,wae,less oxy-thermal habitat,Optimal age 0 thermal habitat days,days in which there is any part of water column between 18-22 degrees C,Christie and Regier 1988,18-22,days
height_18_22,wae,less oxy-thermal habitat,Optimal age 0 thermal habitat meters,meters of water between 18-22 degrees C,Christie and Regier 1988,18-22,linear distance (m)
vol_18_22,wae,less oxy-thermal habitat,Optimal age 0 thermal habitat volume,volumne of water between 18-22 degrees C,Christie and Regier 1988,18-22,volume (m^3*1000)
days_19.3_23.3,smb,increase in thermal optimum,YOY optimum days,days in which there is any part of water columnbetween 19.3-23.3 degrees C,Wismer and Christie 1987,19.3-23.3,days
height_19.3_23.3,smb,increase in thermal optimum,YOY optimum meters,meters of water between 19.3-23.3 degrees C,Wismer and Christie 1987,19.3-23.3,linear distance (m)
vol_19.3_23.3,smb,increase in thermal optimum,YOY optimum volume,volume of water between 19.3-23.3 degrees C,Wismer and Christie 1987,19.3-23.3,volume (m^3*1000)
days_19_23,wae,less oxy-thermal habitat,Optimal thermal habitat days,days in which there is any part of water column  between 19-23 degrees C,Cline et al. 2013,19-23,days
height_19_23,wae,less oxy-thermal habitat,Optimal thermal habitat meters,meters of water between 19-23 degrees C,Cline et al. 2013,19-23,linear distance (m)
vol_19_23,wae,less oxy-thermal habitat,Optimal thermal habitat volume,volume of water between 19-23 degrees C,Cline et al. 2013,19-23,volume (m^3*1000)
days_20.6_23.2,wae,less oxy-thermal habitat,Optimal thermal habitat days,days in which there is any part of water column between 20.6 and 23.2 degrees C,Wismer and Christie 1987,20.6-23.2,days
height_20.6_23.2,wae,less oxy-thermal habitat,Optimal thermal habitat meters,meters of water between 20.6 and 23.2 degrees C,Wismer and Christie 1987,20.6-23.2,linear distance (m)
vol_20.6_23.2,wae,less oxy-thermal habitat,Optimal thermal habitat volume,volume of water between 20.6 and 23.2 degrees C,Wismer and Christie 1987,20.6-23.2,volume (m^3*1000)
days_20_30,lmb,increase in thermal optimum,larval optimum days,days in which there is any part of water column between 20-30 degrees C,Wismer and Christie 1987,20-30,days
height_20_30,lmb,increase in thermal optimum,larval optimum meters,meters of water between 20-30 degrees C,Wismer and Christie 1987,20-30,linear distance (m)
vol_20_30,lmb,increase in thermal optimum,larval optimum volume,volume of water column between 20-30 degrees C,Wismer and Christie 1987,20-30,volume (m^3*1000)
days_21_100,lmb,early hatchdate,length of growing season for YOY,duration of epilimnion temp >21 degrees C,Wismer and Christie 1987,21-100,days
days_22_23,wae,less oxy-thermal habitat,Optimal thermal habitat days,days in which there is any part of water column between 22 and 23 degrees C,Casselman 2002,22-23,days
height_22_23,wae,less oxy-thermal habitat,Optimal thermal habitat meters,meters of water between 22 and 23 degrees C,Casselman 2002,22-23,linear distance (m)
vol_22_23,wae,less oxy-thermal habitat,Optimal thermal habitat volume,volume of water between 22 and 23 degrees C,Casselman 2002,22-23,volume (m^3*1000)
days_23_31,lmb,increase in thermal optimum,juvenile optimum days,days in which there is any part of water column between 23-31 degrees C,Wismer and Christie 1987,23-31,days
height_23_31,lmb,increase in thermal optimum,juvenile optimum meters,height of water column between 23-31 degrees C,Wismer and Christie 1987,23-31,linear distance (m)
vol_23_31,lmb,increase in thermal optimum,juvenile optimum volume,volume of water column between 23-31 degrees C,Wismer and Christie 1987,23-31,volume (m^3*1000)
days_25_29,lmb,increase in thermal optimum,larval optimum days,days in which any part of water column is between 25-29 degrees C,Wismer and Christie 1987,25-29,days
height_25_29,lmb,increase in thermal optimum,larval optimum meters,meters of water between 25-29 degrees C,Wismer and Christie 1987,25-29,linear distance (m)
vol_25_29,lmb,increase in thermal optimum,larval optimum volume,volume of water between 25-29 degrees C,Wismer and Christie 1987,25-29,volume (m^3*1000)
days_26.2_32,lmb,increase in thermal optimum,Good growth habitat days,days in which there is any part of water column between 26.6-32 degrees C,Countant 1977,26.6-32,days
height_26.2_32,lmb,increase in thermal optimum,Good growth habitat meters,meters of water between 26.6-32 degrees C,Countant 1977,26.6-32,linear distance (m)
vol_26.2_32,lmb,increase in thermal optimum,Good growth habitat volume,volume of water between 26.6-32 degrees C,Countant 1977,26.6-32,volume (m^3*1000)
days_26_28,lmb,increase in thermal optimum,subadult optimum days,days in which there is any part of water column between 26-28 degrees C,Wismer and Christie 1987,26-28,days
