"site_id"	"year"	"date"	"secchi_m"
"WBIC_2332400"	1982	"1982-01-26"	2.3
"WBIC_2332400"	1982	"1982-02-23"	2.2
"WBIC_2332400"	1982	"1982-04-05"	2.5
"WBIC_2332400"	1982	"1982-05-11"	1.7
"WBIC_2332400"	1982	"1982-05-25"	1.9
"WBIC_2332400"	1982	"1982-06-09"	3
"WBIC_2332400"	1982	"1982-06-25"	2.5
"WBIC_2332400"	1982	"1982-07-05"	3.3
"WBIC_2332400"	1982	"1982-07-21"	3.2
"WBIC_2332400"	1982	"1982-08-05"	2.8
"WBIC_2332400"	1982	"1982-08-16"	3
"WBIC_2332400"	1982	"1982-09-08"	1.9
"WBIC_2332400"	1982	"1982-09-21"	1.5
"WBIC_2332400"	1982	"1982-10-05"	2
"WBIC_2332400"	1982	"1982-10-22"	2.3
"WBIC_2332400"	1982	"1982-11-08"	2.4
"WBIC_2332400"	1982	"1982-11-30"	3.5
"WBIC_2332400"	1983	"1983-01-17"	3
"WBIC_2332400"	1983	"1983-02-18"	3
"WBIC_2332400"	1983	"1983-03-23"	2.5
"WBIC_2332400"	1983	"1983-05-10"	2.1
"WBIC_2332400"	1983	"1983-05-25"	2.4
"WBIC_2332400"	1983	"1983-06-08"	2.7
"WBIC_2332400"	1983	"1983-06-22"	3
"WBIC_2332400"	1983	"1983-07-05"	3.4
"WBIC_2332400"	1983	"1983-07-20"	3.9
"WBIC_2332400"	1983	"1983-08-04"	2.6
"WBIC_2332400"	1983	"1983-08-15"	2.8
"WBIC_2332400"	1983	"1983-09-09"	2.9
"WBIC_2332400"	1983	"1983-09-29"	1.3
"WBIC_2332400"	1983	"1983-10-18"	2.5
"WBIC_2332400"	1983	"1983-11-16"	2.3
"WBIC_2332400"	1984	"1984-01-06"	2.2
"WBIC_2332400"	1984	"1984-02-29"	2.9
"WBIC_2332400"	1984	"1984-04-03"	3.5
"WBIC_2332400"	1984	"1984-05-09"	2.3
"WBIC_2332400"	1984	"1984-05-23"	3.5
"WBIC_2332400"	1984	"1984-06-05"	2.4
"WBIC_2332400"	1984	"1984-06-21"	3.9
"WBIC_2332400"	1984	"1984-07-03"	3.2
"WBIC_2332400"	1984	"1984-07-18"	2.8
"WBIC_2332400"	1984	"1984-08-02"	3.1
"WBIC_2332400"	1984	"1984-08-14"	3.2
"WBIC_2332400"	1984	"1984-09-06"	1.8
"WBIC_2332400"	1984	"1984-09-24"	1.8
"WBIC_2332400"	1984	"1984-10-15"	2.4
"WBIC_2332400"	1984	"1984-11-08"	1.8
"WBIC_2332400"	1985	"1985-01-07"	3
"WBIC_2332400"	1985	"1985-02-25"	3.6
"WBIC_2332400"	1985	"1985-03-27"	4
"WBIC_2332400"	1985	"1985-04-30"	2
"WBIC_2332400"	1985	"1985-05-16"	3.6
"WBIC_2332400"	1985	"1985-05-28"	3.8
"WBIC_2332400"	1985	"1985-06-11"	2.3
"WBIC_2332400"	1985	"1985-06-24"	3.3
"WBIC_2332400"	1985	"1985-07-11"	4.3
"WBIC_2332400"	1985	"1985-07-23"	2.7
"WBIC_2332400"	1985	"1985-08-07"	2.8
"WBIC_2332400"	1985	"1985-08-19"	1.5
"WBIC_2332400"	1985	"1985-09-12"	2
"WBIC_2332400"	1985	"1985-09-30"	2
"WBIC_2332400"	1985	"1985-10-22"	2.4
"WBIC_2332400"	1985	"1985-11-11"	2.8
"WBIC_2332400"	1986	"1986-03-03"	2.3
"WBIC_2332400"	1986	"1986-03-31"	4.2
"WBIC_2332400"	1986	"1986-04-24"	1.8
"WBIC_2332400"	1986	"1986-05-08"	3
"WBIC_2332400"	1986	"1986-05-20"	5.4
"WBIC_2332400"	1986	"1986-06-02"	3.8
"WBIC_2332400"	1986	"1986-06-18"	6.1
"WBIC_2332400"	1986	"1986-07-02"	4
"WBIC_2332400"	1986	"1986-07-16"	3.2
"WBIC_2332400"	1986	"1986-07-28"	3.4
"WBIC_2332400"	1986	"1986-08-13"	2.4
"WBIC_2332400"	1986	"1986-08-26"	1.9
"WBIC_2332400"	1986	"1986-09-10"	2.1
"WBIC_2332400"	1986	"1986-09-22"	2
"WBIC_2332400"	1986	"1986-10-09"	2.3
"WBIC_2332400"	1986	"1986-10-22"	2.4
"WBIC_2332400"	1986	"1986-11-03"	2.4
"WBIC_2332400"	1987	"1987-01-20"	2.5
"WBIC_2332400"	1987	"1987-02-24"	3.1
"WBIC_2332400"	1987	"1987-03-19"	4.8
"WBIC_2332400"	1987	"1987-04-15"	2
"WBIC_2332400"	1987	"1987-05-04"	3.6
"WBIC_2332400"	1987	"1987-05-18"	4.1
"WBIC_2332400"	1987	"1987-06-01"	3.9
"WBIC_2332400"	1987	"1987-06-11"	3.9
"WBIC_2332400"	1987	"1987-06-29"	3.6
"WBIC_2332400"	1987	"1987-07-27"	4.1
"WBIC_2332400"	1987	"1987-08-13"	2
"WBIC_2332400"	1987	"1987-08-26"	1.5
"WBIC_2332400"	1987	"1987-09-10"	1.6
"WBIC_2332400"	1987	"1987-09-21"	1.6
"WBIC_2332400"	1987	"1987-10-05"	1.7
"WBIC_2332400"	1987	"1987-10-21"	2.5
"WBIC_2332400"	1987	"1987-11-05"	3
"WBIC_2332400"	1987	"1987-11-18"	3.1
"WBIC_2332400"	1988	"1988-01-11"	3.9
"WBIC_2332400"	1988	"1988-03-02"	3
