WBIC	LAT	LON
5509430	45.955620	-91.137601
5509445	45.956955	-90.905424
2490900	45.921312	-92.241721
5510201	45.926716	-88.799980
5510493	45.907996	-88.238942
2458000	45.939968	-92.057545
2391200	45.935298	-91.415359
1163000	45.917567	-89.381333
5510547	45.915296	-89.056934
5509854	45.944865	-89.398388
5509872	45.933955	-91.669017
2257800	45.943517	-90.299252
2676000	45.905067	-92.278992
5510236	45.922446	-88.567552
5510255	45.929002	-89.421355
5510726	45.896150	-88.098451
5509507	45.954280	-90.993430
2000700	45.958418	-90.004200
5509514	45.954687	-90.938604
2555100	45.928302	-91.960754
5509895	45.922798	-92.251057
603100	45.939504	-88.965136
5510768	45.883082	-92.490151
976800	45.906285	-89.358194
2560000	45.930479	-92.446714
5509542	45.955901	-89.395108
683200	45.935310	-88.732377
1596400	45.942616	-89.419470
2554100	45.928984	-91.836629
590500	45.932055	-88.500582
5510292	45.919477	-91.507097
2718500	45.946833	-91.583942
2261600	45.943299	-90.187047
5509933	45.939241	-89.130972
2467200	45.913629	-92.194526
2555300	45.924496	-91.994213
1160700	45.927617	-89.590865
703300	45.914152	-88.164143
5510333	45.923880	-90.943623
2268300	45.899855	-90.066718
691800	45.946953	-88.933815
5509603	45.955149	-90.263587
605300	45.947181	-88.680806
5509618	45.942972	-91.673032
5509944	45.941541	-90.364899
5510808	45.895517	-91.726044
2006300	45.900548	-91.255374
5509972	45.909920	-92.682758
5509977	45.924855	-91.917064
703200	45.911844	-88.159592
2483200	45.903545	-92.210801
5510634	45.911470	-90.955087
5510638	45.887768	-92.515439
5510645	45.887509	-92.513835
2257800	45.953549	-90.304751
5509651	45.949241	-91.055922
5509995	45.926772	-88.254751
1596400	45.938464	-89.422994
585900	45.920678	-89.001601
5510859	45.879833	-92.464200
1161700	45.904095	-89.532951
5510027	45.919964	-92.079539
5510429	45.905473	-92.011518
5510553	45.900615	-92.042348
5510046	45.938044	-90.442901
609000	45.922688	-88.119924
5510062	45.937542	-90.444092
1998400	45.912868	-90.523613
5510670	45.913717	-90.318074
2549800	45.940598	-91.528760
5509727	45.951144	-89.938550
606900	45.937324	-88.238132
1179900	45.934070	-89.278170
1855200	45.923150	-91.486468
5510752	45.910837	-90.199815
5510755	45.883688	-92.491717
980500	45.908668	-89.398633
5509750	45.919288	-92.674821
5509761	45.940684	-91.471964
5509776	45.947433	-89.323718
2282300	45.939929	-90.539453
5510107	45.927973	-88.644818
1159400	45.934594	-89.741231
5510588	45.905943	-91.625142
1159700	45.916388	-89.743549
995600	45.914175	-89.335998
5510140	45.924971	-91.508277
2278700	45.932539	-90.669854
5510446	45.918481	-88.915849
5510680	45.887022	-92.465017
5510689	45.908792	-91.043325
5510706	45.912836	-89.983632
5510708	45.906082	-91.188794
992100	45.872588	-89.634324
1156900	45.850583	-89.101800
5510876	45.904344	-90.452824
1539600	45.897613	-89.820302
5511557	45.845565	-92.524948
2644200	45.842795	-92.621924
5511940	45.848075	-88.926038
5511942	45.825176	-92.452600
2707300	45.879053	-91.997906
2438200	45.872735	-91.298851
5511313	45.870319	-91.748001
5511970	45.821538	-92.623612
5510900	45.895791	-88.602097
5510904	45.878055	-92.426956
994300	45.879415	-89.341216
5511349	45.851415	-92.633019
5511354	45.851197	-92.634017
2382200	45.867209	-91.005292
697800	45.867969	-88.958134
996200	45.866750	-89.269620
5511589	45.858250	-91.760736
5512000	45.842837	-91.291872
5510909	45.903095	-90.406620
5510927	45.887135	-88.095305
5510939	45.890907	-91.662596
599500	45.874846	-88.962676
5511612	45.869841	-90.408440
5511615	45.844214	-92.424272
672500	45.887785	-88.329057
2262400	45.900151	-90.197221
1599500	45.897565	-89.144459
1537100	45.874819	-89.907513
5511423	45.848423	-92.634579
650500	45.858315	-88.142378
5511443	45.873333	-88.950164
5511445	45.873262	-88.948194
2262600	45.868152	-90.201543
5511636	45.838460	-92.649731
1148300	45.845588	-89.714905
5512078	45.838140	-91.324774
5512087	45.835051	-91.546000
979800	45.899035	-89.839460
5511023	45.898707	-89.883619
5511025	45.897991	-89.600655
694500	45.861132	-88.867274
998500	45.863000	-89.610840
650300	45.827796	-88.251571
1144800	45.838691	-89.926137
5511056	45.893834	-90.884138
5511073	45.894984	-89.456602
5003888	45.864943	-89.760506
5511682	45.866158	-90.199547
5511683	45.836425	-92.601295
5511694	45.864992	-90.314864
5511710	45.859374	-88.920323
5512103	45.845566	-90.030747
1872100	46.066527	-89.603883
2422200	46.064453	-90.971022
5507002	46.041724	-92.299413
5506447	46.085064	-91.245793
2330700	46.055647	-89.749151
2568500	46.003946	-92.165069
5507770	46.021991	-90.854918
5507232	46.049590	-89.337552
2260300	46.039265	-90.249926
5507479	46.029063	-91.479854
1167000	46.035341	-89.405122
5507490	46.035679	-89.266517
1166800	46.035132	-89.336864
5507778	46.017806	-91.244387
5507780	46.018653	-91.161605
2008700	46.023596	-90.287552
5507791	46.016582	-91.272688
2722800	46.039520	-91.559690
5507279	46.041988	-91.266358
5507503	46.025951	-91.606040
5507537	46.027781	-91.371573
5507541	46.030680	-91.065280
5507552	46.029901	-91.064192
5507814	46.013966	-91.448264
5507319	46.032164	-91.879024
1166500	46.044870	-89.400073
5507334	46.045114	-89.382961
5507557	46.031787	-89.231439
5507940	46.015028	-90.756346
1179900	46.014520	-89.292108
5507951	46.011929	-91.100087
5507955	46.015530	-89.421176
5507343	46.031028	-91.798234
5507346	46.045263	-89.534684
5507349	46.040153	-88.851819
2416400	46.041260	-91.089737
2469400	46.023822	-91.999777
5507396	46.029695	-91.797546
2416300	46.026741	-91.109472
5507617	46.030430	-89.480672
5507618	46.011848	-92.101751
5507848	46.020537	-89.549438
2007800	46.020717	-90.382021
5507859	46.021132	-89.928982
5508009	46.005969	-91.454002
2432900	46.023668	-91.175863
2013550	46.030180	-89.924680
5507648	46.030389	-89.823416
2568400	46.009197	-92.157153
5507657	46.022791	-91.289098
5507658	46.020448	-91.468244
5507878	46.016629	-89.360654
5508040	46.010992	-89.162879
5507414	46.022352	-92.063921
5507670	46.016776	-91.716391
2291200	46.028617	-90.415274
2563900	46.013473	-91.794954
2568000	46.011854	-91.930145
2008900	46.019019	-90.229442
1012700	46.015998	-89.315903
2008500	46.041756	-90.194328
2044000	46.040487	-90.179763
5507715	46.022640	-91.076608
5507750	46.023613	-89.289324
5507931	46.014485	-89.365503
2270400	45.982431	-90.037489
5508774	45.976671	-91.462340
2556100	45.956169	-92.068091
5508452	45.997603	-89.763017
5508796	45.974032	-91.597396
2706200	45.964549	-92.029968
5508805	45.975129	-88.520940
5508816	45.983155	-89.584460
5508820	45.960601	-92.306823
2005400	45.967090	-91.227988
5509068	45.959012	-91.851869
5508076	46.012818	-89.916667
5508457	45.982702	-91.861580
5508468	45.996608	-90.425584
5508485	45.990200	-91.246952
715900	45.991586	-88.936114
2271000	45.981969	-90.078842
5508109	46.008753	-90.767230
1178200	46.007299	-89.433344
5508501	45.985230	-91.602282
2558900	45.956582	-92.346559
5509080	45.968893	-88.958860
2269400	45.968394	-90.034919
5508529	45.995569	-89.774713
1011900	45.989334	-89.215251
5508891	45.951772	-92.600941
5509262	45.942684	-92.344707
2716000	45.952671	-91.812350
2399800	46.021247	-90.736864
5508909	45.980727	-90.153265
5509328	45.941528	-92.293997
708600	45.983352	-88.617040
2259000	45.993197	-90.247250
5508183	46.006183	-89.290472
5508207	46.005501	-89.239821
5508208	46.006184	-90.496862
5509382	45.961579	-89.465033
5509385	45.939061	-92.336415
2568700	45.984414	-92.168368
2258900	45.991892	-90.245240
1165700	45.989816	-89.437913
5508622	45.985295	-88.868116
5508636	45.984498	-91.250167
1160000	45.978853	-89.557855
1593400	45.965550	-89.483123
5509192	45.968432	-89.454550
5508265	45.982979	-92.146853
5508280	46.001638	-89.288527
5508658	45.977727	-91.704946
1013600	45.974010	-89.203203
5508305	46.000760	-89.211076
2016400	46.002455	-89.767012
2670900	45.978530	-92.318523
5508966	45.974661	-90.932874
5509097	45.949079	-92.337663
585400	45.995121	-89.029766
708400	45.979609	-88.594539
5508696	45.971128	-92.027284
1165600	45.987357	-89.471892
5508989	45.977675	-89.998586
2284000	45.971887	-90.508300
5509001	45.974513	-90.790332
2270400	45.976954	-90.034260
2009300	45.999999	-90.229132
2045000	45.974866	-90.002220
5003532	45.942087	-92.642345
5509027	45.964594	-91.619052
5509285	45.944692	-92.165692
5508714	45.986037	-89.260723
5508727	45.979845	-91.325284
5508737	45.983089	-91.030331
2465200	45.944585	-92.356413
5509127	45.970736	-90.377465
1167900	45.997531	-89.377954
2014200	45.986563	-89.818254
2550600	45.975011	-91.608374
2391600	45.959535	-91.386647
1870200	45.964434	-90.157458
5509238	45.960720	-91.265647
5509412	45.953914	-88.646593
2555200	45.916010	-91.983999
5510192	45.910433	-92.290773
5510465	45.921776	-89.631118
5510468	45.919239	-89.115559
5510483	45.917628	-90.939913
2751220	47.542690	-87.756929
5500553	46.617066	-91.162564
5500977	46.534438	-91.894253
2859700	46.533729	-91.892351
5500987	46.544633	-91.006742
5500998	46.538213	-91.522774
5501001	46.547612	-90.323594
5501007	46.534670	-91.722029
2820700	46.537590	-91.534211
5500098	46.904208	-90.819030
