"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","id"
"USGS-04000900",47.8951695,-89.1689769,4795126
"USGS-04002000",47.8915583,-89.0173085,4795128
"USGS-04032010",46.5577255,-89.7732178,11947063
"USGS-04035995",46.5885582,-89.547931,166766588
"USGS-04036000",46.5874471,-89.5418197,166766588
"USGS-04039800",46.6868861,-89.2301422,11946161
"USGS-04039900",46.6866083,-89.2298645,11946161
"USGS-04043070",46.7549329,-88.5059646,14442156
"USGS-04043080",46.7465998,-88.5079093,14442156
"USGS-04043270",46.7263167,-87.8720756,12026150
"USGS-04043300",46.8124232,-87.6798534,12024896
"USGS-04043390",46.6496525,-87.8323548,12026156
"USGS-04044340",46.5332675,-87.6679132,12025220
"USGS-04044341",46.5324342,-87.666802,12025220
"USGS-04044402",46.5063239,-87.5856919,12025290
"USGS-04044789",46.6663724,-85.9140503,12219412
"USGS-04044794",46.6669433,-85.6484787,12219270
"USGS-04044795",46.6658319,-85.65209,12219270
"USGS-04044840",46.3727649,-85.7820768,120055315
"USGS-04047200",46.2463713,-85.8517925,12220518
"USGS-04048000",46.3447017,-85.9501398,12220490
"USGS-04052700",46.3005273,-86.121812,12222058
"USGS-04052704",46.296361,-86.1140336,12222058
"USGS-04053600",46.2894153,-86.1440347,12222058
"USGS-04054420",46.2933035,-86.1584802,12222058
"USGS-04054425",46.2888593,-86.152924,12222058
"USGS-04054428",46.2769147,-86.1576458,12222058
"USGS-04054429",46.2652482,-86.1557004,12222058
"USGS-04054430",46.2646925,-86.1587561,12222058
"USGS-04054434",46.2452499,-86.1170859,12222058
"USGS-04054435",46.2452499,-86.1162525,12222058
"USGS-04054440",46.1846949,-86.1165283,12222058
"USGS-04055500",46.3457979,-86.2765439,12222058
"USGS-04056705",46.1599594,-86.6062629,12221342
"USGS-04056900",46.0044144,-86.3820918,120055357
"USGS-04057050",45.919418,-86.3395862,12222730
"USGS-04057052",45.9163626,-86.3390305,12222730
"USGS-04057058",45.9083074,-86.3320854,12222730
"USGS-04057410",46.1563463,-86.712095,12222068
"USGS-040575204",45.8594168,-86.6706973,12222750
"USGS-040575205",45.8560836,-86.6723638,12222750
"USGS-04057521",45.8408066,-86.6687522,12222750
"USGS-04057522",46.2377292,-86.8582054,12013436
"USGS-04057580",45.9655192,-86.920975,120054402
"USGS-04057690",46.532435,-87.936801,12026184
"USGS-04057700",46.5285462,-87.9187455,12026184
"USGS-04057701",46.5268795,-87.9120789,12026184
"USGS-04057771",46.5010471,-87.9179127,12026306
"USGS-04057811",46.4421599,-87.8006905,11958866
"USGS-04057812",46.4421599,-87.8006905,11958866
"USGS-04058110",46.4018835,-87.6554136,12027834
"USGS-04058119",46.3838287,-87.6212473,11958932
"USGS-04058183",46.4177163,-87.6801357,11958896
"USGS-04058186",46.4185496,-87.6723579,11958896
"USGS-04058570",46.1852254,-87.566247,120055314
"USGS-04058990",45.9319052,-87.2101374,12015670
"USGS-04059110",46.0863398,-87.6406898,120055360
"USGS-04059172",45.8863479,-87.5223536,12015690
"USGS-04059680",45.7832957,-87.528462,12015738
"USGS-04059685",45.7382972,-87.5279054,12015860
"USGS-04059695",45.7716293,-87.5415171,12015860
"USGS-04059756",45.4349736,-87.5331738,120055364
"USGS-040599695",46.132453,-88.5968003,14442958
"USGS-04060420",46.0993984,-88.6101328,14443070
"USGS-04061200",46.3863341,-88.5043042,14443904
"USGS-04062290",46.4063278,-87.9823568,6829001
"USGS-04063490",45.8727322,-88.069851,6842369
"USGS-04063535",45.8368997,-88.049294,6842499
"USGS-04065390",46.0274517,-87.8345772,120055359
"USGS-04065392",46.0307849,-87.8295773,120055359
"USGS-04065393",46.0260628,-87.832355,120055359
"USGS-04065395",45.9993983,-87.690133,120055359
"USGS-04065405",45.9318999,-87.7515194,12015142
"USGS-04065550",45.9671743,-88.0079089,120054463
"USGS-04065575",45.9630077,-88.0095755,120054463
"USGS-04067060",45.6085778,-87.6340109,12015812
"USGS-04096285",42.0328235,-84.7369078,12254134
"USGS-04096477",41.9175482,-84.9016301,12257268
"USGS-04096513",41.9781037,-85.0288566,12258506
"USGS-04096700",42.0317145,-85.2480363,12255894
"USGS-04097068",42.2611537,-85.3486076,12254710
"USGS-04097120",42.1725448,-85.4719419,12255834
"USGS-04097140",42.1575452,-85.4644409,12254844
"USGS-04097185",42.1547654,-85.6252791,12254858
"USGS-04097202",42.1575439,-85.5786113,12254848
"USGS-04097212",42.105879,-85.553886,12255862
"USGS-04097217",42.0986569,-85.5541634,12254914
