"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","Permnn_I","id"
"USGS-432321084003101",43.3893611,-84.0088333,NA,NA
"MI001-414538086142701",41.7606035,-86.2408405,NA,NA
"MI001-414539085550201",41.7608828,-85.9172213,NA,NA
"MI001-414539086143401",41.7608813,-86.242785,NA,NA
"MI001-414540086165001",41.7611588,-86.2805643,NA,NA
"MI001-414542086181201",41.7617141,-86.303343,NA,NA
"MI001-414546085560601",41.7628271,-85.9349999,NA,NA
"MI001-414546086160301",41.7628255,-86.2675082,NA,NA
"MI001-414546086195501",41.7628249,-86.3319555,NA,NA
"MI001-414550086192401",41.7639361,-86.323344,NA,NA
"MI001-414552086223701",41.7644911,-86.3769575,NA,NA
"MI001-414552086235101",41.7644909,-86.3975139,NA,NA
"MI001-414555085494301",41.7653276,-85.8286068,NA,NA
"MI001-414555086181401",41.7653251,-86.3038988,NA,NA
"MI001-414556085522401",41.7656051,-85.8733308,NA,NA
"MI001-414556085591401",41.7656046,-85.9872242,NA,NA
"MI001-414556086163001",41.7656032,-86.2750086,NA,NA
"MI001-414556086224201",41.7656022,-86.3783465,NA,NA
"MI001-414557085495801",41.7658831,-85.8327737,NA,NA
"MI001-414557086150501",41.7658812,-86.2513965,NA,NA
"MI001-414558086155201",41.7661589,-86.2644526,NA,NA
"MI001-414559085590001",41.7664379,-85.9833352,NA,NA
"MI001-414559086170701",41.7664364,-86.2852869,NA,NA
"MI001-414600086180401",41.766714,-86.3011209,NA,NA
"MI001-414600086192201",41.7667138,-86.3227885,NA,NA
"MI001-414600086215201",41.7667134,-86.364457,NA,NA
"MI001-414601085503101",41.7669942,-85.8419407,NA,NA
"MI001-414603085583101",41.767549,-85.9752794,NA,NA
"MI001-414604085545901",41.7678271,-85.9163882,NA,NA
"MI001-414604086140301",41.7678257,-86.234174,NA,NA
"MI001-414605085565401",41.7681047,-85.9483339,NA,NA
"MI001-414605086192101",41.7681027,-86.3225108,NA,NA
"MI001-414605086245801",41.7681018,-86.4161259,NA,NA
"MI001-414606086145801",41.7683812,-86.249452,NA,NA
"MI001-414606086182301",41.7683806,-86.306399,NA,NA
"MI001-414606086205701",41.7683802,-86.3491786,NA,NA
"MI001-414607086273501",41.7686569,-86.4597389,NA,NA
"MI001-414607086274101",41.7686569,-86.4614057,NA,NA
"MI001-414607086280901",41.7686568,-86.4691838,NA,NA
"MI001-414607086293001",41.7686566,-86.4916848,NA,NA
"MI001-414609086141201",41.7692146,-86.236674,NA,NA
"MI001-414609086144001",41.7692145,-86.244452,NA,NA
"MI001-414609086203001",41.7692136,-86.3416783,NA,NA
"MI001-414609086213101",41.7692135,-86.3586235,NA,NA
"MI001-414609086275901",41.7692124,-86.4664059,NA,NA
"MI001-414609086284901",41.7692123,-86.4802954,NA,NA
"MI001-414610085490201",41.7694943,-85.8172176,NA,NA
"MI001-414610086202501",41.7694914,-86.3402893,NA,NA
"MI001-414611086201901",41.7697692,-86.3386226,NA,NA
"MI001-414613085555401",41.770327,-85.9316666,NA,NA
"MI001-414613085584601",41.7703267,-85.9794463,NA,NA
"MI001-414615086163001",41.7708809,-86.2750088,NA,NA
"MI001-414617086150101",41.7714367,-86.2502855,NA,NA
"MI001-414619086194801",41.7719915,-86.3300112,NA,NA
"MI001-414619086260001",41.7719905,-86.4333489,NA,NA
"MI001-414619086261801",41.7719904,-86.4383492,NA,NA
"MI001-414620085491901",41.772272,-85.82194,NA,NA
"MI001-414621086160001",41.7725477,-86.2666752,NA,NA
"MI001-414624086163701",41.7733809,-86.2769534,NA,NA
"MI001-414625086170401",41.7736586,-86.2844537,NA,NA
"MI001-414626085510001",41.7739384,-85.8499968,NA,NA
"MI001-414626085545801",41.7739381,-85.9161105,NA,NA
"MI001-414626085580101",41.7739379,-85.9669459,NA,NA
"MI001-414631086154801",41.7753254,-86.2633418,NA,NA
"MI001-414633086224401",41.7758799,-86.3789023,NA,NA
"MI001-414633086234901",41.7758797,-86.3969586,NA,NA
"MI001-414633086260001",41.7758793,-86.433349,NA,NA
"MI001-414634085535201",41.7761604,-85.8977765,NA,NA
"MI001-414634086225601",41.7761576,-86.3822357,NA,NA
"MI001-414634086231001",41.7761576,-86.3861248,NA,NA
"MI001-414636086183001",41.7767139,-86.3083437,NA,NA
"MI001-414636086223101",41.7767132,-86.375291,NA,NA
"MI001-414638086192401",41.7772693,-86.3233444,NA,NA
"MI001-414642086150401",41.7783811,-86.2511192,NA,NA
"MI001-414642086240001",41.7783796,-86.4000143,NA,NA
"MI001-414642086282701",41.7783789,-86.4741841,NA,NA
"MI001-414643085533401",41.7786604,-85.8927764,NA,NA
"MI001-414643086192401",41.7786582,-86.3233444,NA,NA
"MI001-414645085495801",41.7792162,-85.832774,NA,NA
"MI001-414646085561101",41.7794935,-85.9363893,NA,NA
"MI001-414646086213101",41.7794911,-86.3586237,NA,NA
"MI001-414646086282601",41.77949,-86.4739063,NA,NA
"MI001-414647086210501",41.779769,-86.3514012,NA,NA
"MI001-414647086213501",41.7797689,-86.3597349,NA,NA
"MI001-414648086225701",41.7800465,-86.3825136,NA,NA
"MI001-414649086251901",41.7803238,-86.4219597,NA,NA
"MI001-414650085542901",41.7806047,-85.9080548,NA,NA
"MI001-414650085592401",41.7806043,-85.9900026,NA,NA
"MI001-414650086170501",41.780603,-86.2847318,NA,NA
"MI001-414651085560901",41.7808823,-85.9358337,NA,NA
"MI001-414652085534701",41.7811603,-85.8963877,NA,NA
"MI001-414653085553201",41.7814379,-85.9255555,NA,NA
"MI001-414654085565901",41.7817156,-85.9497232,NA,NA
"MI001-414655085585601",41.7819932,-85.9822245,NA,NA
"MI001-414655086170501",41.7819918,-86.2847318,NA,NA
"MI001-414658086191901",41.7828248,-86.3219556,NA,NA
"MI001-414659085491201",41.7831051,-85.8199958,NA,NA
"MI001-414659086285601",41.783101,-86.48224,NA,NA
"MI001-414659086290301",41.783101,-86.4841845,NA,NA
"MI001-414700086164901",41.7833807,-86.2802872,NA,NA
"MI001-414700086192401",41.7833803,-86.3233446,NA,NA
"MI001-414700086225601",41.7833798,-86.3822359,NA,NA
"MI001-414701086182101",41.7836583,-86.3058438,NA,NA
"MI001-414702085560901",41.7839378,-85.9358338,NA,NA
"MI001-414702086202501",41.7839357,-86.3402897,NA,NA
"MI001-414706085501001",41.7850494,-85.8361076,NA,NA
"MI001-414707085510301",41.7853271,-85.8508304,NA,NA
"MI001-414708085565901",41.7856044,-85.9497233,NA,NA
"MI001-414709085520301",41.7858826,-85.8674978,NA,NA
"MI001-414714085505301",41.7872715,-85.8480526,NA,NA
"MI001-414714085521201",41.7872714,-85.8699979,NA,NA
"MI001-414717085554901",41.7881045,-85.9302781,NA,NA
"MI001-414718085571801",41.7883821,-85.9550014,NA,NA
"MI001-414720085563701",41.7889377,-85.943612,NA,NA
"MI001-414729085571801",41.7914376,-85.9550014,NA,NA
"MI001-414737085503001",41.7936603,-85.8416636,NA,NA
"USGS-04101400",41.7744921,-86.2672308,NA,NA
"USGS-04000800",47.8446166,-89.1809241,NA,NA
"USGS-04000900",47.8951695,-89.1689769,NA,"4795126"
"USGS-04000950",47.9279455,-89.1311969,NA,NA
"USGS-04000970",47.9246124,-89.1373083,NA,NA
"USGS-04001000",47.9212792,-89.1459197,NA,NA
"USGS-04001500",47.9851625,-88.8025788,NA,NA
"USGS-04001700",47.9337778,-88.9575833,NA,NA
"USGS-04002000",47.8915583,-89.0173085,NA,"4795128"
"USGS-04027940",46.3477259,-90.1218382,NA,NA
"USGS-04028090",46.4916141,-90.1732309,NA,NA
"USGS-04028092",46.4918919,-90.175731,NA,NA
"USGS-04028100",46.5071696,-90.2298989,NA,NA
"USGS-04028105",46.5007807,-90.1251745,NA,NA
"USGS-04028110",46.5130028,-90.1562863,NA,NA
"USGS-04029550",46.5132806,-90.2726775,NA,NA
"USGS-04029950",46.5699465,-90.1765644,NA,NA
"USGS-04030500",46.4738364,-90.0018379,NA,NA
"USGS-04030502",46.4705031,-89.9823925,NA,NA
"USGS-04030520",46.4666143,-89.9446131,NA,NA
"USGS-04030525",46.4799475,-89.9751703,NA,NA
"USGS-04030810",46.4513367,-89.8662762,NA,NA
"USGS-04030955",46.5155031,-89.881278,NA,NA
"USGS-04030957",46.537725,-89.9215575,NA,NA
"USGS-04030960",46.4988364,-89.9276688,NA,NA
"USGS-04030965",46.4871696,-90.0521171,NA,NA
"USGS-04030967",46.4891141,-90.0498949,NA,NA
"USGS-04030975",46.466892,-90.069617,NA,NA
"USGS-04030980",46.4810586,-90.0793398,NA,NA
"USGS-04030998",46.5107806,-90.0729512,NA,NA
"USGS-04031000",46.5113361,-90.0746179,NA,NA
"USGS-04031030",46.6580014,-90.0440619,NA,NA
"USGS-04031500",46.3721704,-89.6923791,NA,NA
"USGS-04031650",46.4563367,-89.6896027,NA,NA
"USGS-04031950",46.4049482,-89.7793274,NA,NA
"USGS-04032000",46.5472222,-89.7772222,NA,NA
"USGS-04032010",46.5577255,-89.7732178,NA,"11947063"
"USGS-04032100",46.6227248,-89.8618328,NA,NA
"USGS-04032110",46.6457801,-89.8832226,NA,NA
"USGS-04032150",46.696057,-89.97406,NA,NA
"USGS-04032180",46.7199469,-89.8248867,NA,NA
"USGS-04032184",46.7230024,-89.8307203,NA,NA
"USGS-04032450",46.8257787,-89.5870966,NA,NA
"USGS-04032500",46.7735578,-89.5820981,NA,NA
"USGS-04032505",46.8149456,-89.5695963,NA,NA
"USGS-04032510",46.7332806,-89.5629315,NA,NA
"USGS-04032511",46.7405028,-89.574043,NA,NA
"USGS-04032515",46.762447,-89.5737649,NA,NA
"USGS-040325155",46.8316119,-89.5465393,NA,NA
"USGS-04032520",46.8427214,-89.4201456,NA,NA
"USGS-04032525",46.7596661,-89.3693129,NA,NA
"USGS-04032530",46.7538329,-89.3709798,NA,NA
"USGS-04032533",46.8529984,-89.387922,NA,NA
"USGS-04032700",46.2771703,-89.3093097,NA,NA
"USGS-04032800",46.2852257,-89.2901425,NA,NA
"USGS-04032850",46.2832813,-89.2651418,NA,NA
"USGS-04032900",46.2749485,-89.1776402,NA,NA
