"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","id"
"USGS-05390100",46.1216185,-89.1520804,NA
"USGS-460714089090402",46.1205074,-89.151247,"nhd_13391511"
"USGS-460714089090403",46.1205074,-89.151247,"nhd_13391511"
"USGS-460714089090405",46.1205074,-89.151247,"nhd_13391511"
"USGS-460714089090406",46.1205074,-89.151247,"nhd_13391511"
"USGS-460717089090901",46.1213407,-89.1526359,NA
"USGS-460717089090902",46.1213407,-89.1526359,NA
"USGS-460717089090903",46.1213407,-89.1526359,NA
"USGS-460717089090905",46.1213407,-89.1526359,NA
"USGS-460717089090906",46.1213407,-89.1526359,NA
"USGS-460726089065001",46.1238411,-89.1140242,"nhd_13391511"
"USGS-460726089065002",46.1238411,-89.1140242,"nhd_13391511"
"USGS-460726089065003",46.1238411,-89.1140242,"nhd_13391511"
"USGS-460726089065005",46.1238411,-89.1140242,"nhd_13391511"
"USGS-460726089065006",46.1238411,-89.1140242,"nhd_13391511"
"USGS-460730089042501",46.1249526,-89.0737458,"nhd_13391511"
"USGS-460730089042502",46.1249526,-89.0737458,"nhd_13391511"
"USGS-460730089042503",46.1249526,-89.0737458,"nhd_13391511"
"USGS-460730089042505",46.1249526,-89.0737458,"nhd_13391511"
"USGS-460730089042506",46.1249526,-89.0737458,"nhd_13391511"
"USGS-460847089052501",46.1463408,-89.0904134,"nhd_13391511"
"USGS-460847089052502",46.1463408,-89.0904134,"nhd_13391511"
"USGS-460847089052503",46.1463408,-89.0904134,"nhd_13391511"
"USGS-460847089052505",46.1463408,-89.0904134,"nhd_13391511"
"USGS-460847089052506",46.1463408,-89.0904134,"nhd_13391511"
"USGS-435208091181800",43.8688539,-91.3051397,NA
"USGS-435213091182200",43.8702428,-91.3062511,NA
"USGS-435412091195800",43.9032978,-91.3329189,"nhd_2454752"
"USGS-435445091203100",43.9124642,-91.3420858,NA
"USGS-435519091153701",43.9219083,-91.260419,"nhd_13334980"
"USGS-445400092462401",44.9,-92.7733333,"nhd_120053219"
"USGS-450028092455801",45.0077778,-92.7661111,"nhd_120053219"
"USGS-451714092452501",45.2871877,-92.7571544,NA
"USGS-455413089383201",45.9036111,-89.6422222,NA
"USGS-455649089375601",45.9469444,-89.6322222,NA
"USGS-455855089355301",45.9819444,-89.5980556,NA
"USGS-460232089381101",46.0422222,-89.6363889,NA
"USGS-460238089405301",46.0438889,-89.6813889,"nhd_13343906"
"USGS-460311089345301",46.0530556,-89.5813889,NA
"USGS-460543089453401",46.0952778,-89.7594444,"nhd_14445324"
"USGS-460610089410401",46.1027778,-89.6844444,NA
"USGS-460752089445001",46.1311111,-89.7472222,NA
"USGS-460842091202401",46.1454167,-91.3398611,"nhd_1849829"
"USGS-461356091102001",46.2321753,-91.1724086,NA
"USGS-464131092001201",46.6919444,-92.0033333,NA
"USGS-464313092031101",46.7202778,-92.0530556,NA
"USGS-464348092040901",46.73,-92.0691667,NA
"USGS-464429092054601",46.7413889,-92.0961111,NA
"USGS-464433092050601",46.7425,-92.085,NA
"USGS-464444092070401",46.7455556,-92.1177778,NA
"USGS-425532088020101",42.9255278,-88.0336667,"nhd_12169533"
"USGS-425535088015401",42.9264722,-88.0318056,"nhd_12169533"
"USGS-431101088000201",43.1835,-88.0006667,"nhd_120052175"
"USGS-460320089365401",46.0555556,-89.6150278,NA
"USGS-460322089363501",46.0561667,-89.6096111,NA
"USGS-460325089375201",46.0568889,-89.631,NA
"USGS-460338089360001",46.0604722,-89.5999722,NA
"USGS-460340089360001",46.0611944,-89.6000833,NA
"USGS-460357089360901",46.0659444,-89.6023889,"nhd_13343952"
"USGS-04024500",46.4829965,-92.0671365,"nhd_1803579"
"USGS-04025436",46.5146633,-91.6849116,"nhd_166766569"
"USGS-04026100",46.5816081,-91.3385232,NA
"USGS-04026370",46.6068865,-90.8754645,NA
"USGS-04027145",46.2710634,-91.1196324,NA
"USGS-04037002",46.2102268,-89.4337564,"nhd_11949795"
"USGS-04038600",46.2093934,-89.5054252,NA
"USGS-04039010",46.2260599,-89.5293153,NA
"USGS-04059784",45.9941234,-88.9826295,"nhd_14445790"
"USGS-04063632",45.9252352,-88.9987382,"nhd_120052170"
"USGS-04063658",45.8496815,-88.6670665,NA
"USGS-04063678",45.7724593,-88.5462324,NA
"USGS-04070000",45.318579,-88.4828845,"nhd_6808108"
"USGS-04070500",45.271635,-88.6331618,"nhd_6808248"
"USGS-04072006",44.5861038,-87.9817702,NA
"USGS-04072011",44.5974929,-87.9523247,NA
"USGS-04072500",43.5527778,-89.4730278,NA
"USGS-04072734",43.6883132,-89.3945644,NA
"USGS-04073000",43.7397042,-88.9748345,NA
"USGS-04073178",44.0569186,-89.4881776,NA
"USGS-04073179",44.0510857,-89.4640107,NA
"USGS-04073410",44.0605336,-89.2367853,NA
"USGS-04074501",45.5313529,-88.8562236,NA
"USGS-04074532",45.473297,-88.9398353,NA
"USGS-04074544",45.487463,-88.9745585,"nhd_9026301"
"USGS-04074546",45.4796854,-88.973725,NA
"USGS-04074651",45.4632974,-88.919557,"nhd_9026347"
"USGS-04074656",45.4238533,-88.9384457,NA
"USGS-04080865",44.4677513,-89.3278919,NA
"USGS-04080903",44.4366393,-89.3778932,NA
"USGS-04080945",44.3160861,-89.3231721,NA
"USGS-04082500",44.0097063,-88.5273365,"nhd_120052443"
"USGS-04084000",43.7363795,-88.3962152,NA
"USGS-04084255",44.0705556,-88.3288889,NA
"USGS-04084410",44.1772085,-88.4401088,"nhd_120052443"
"USGS-040844105",44.1872085,-88.442053,"nhd_120052443"
"USGS-04085140",44.5677711,-87.9031559,NA
"USGS-04085397",43.9608262,-88.0003728,NA
"USGS-04085446",43.929438,-87.8895356,NA
"USGS-04085452",43.9894378,-87.869535,NA
"USGS-04085498",43.9672152,-87.9620382,"nhd_12175102"
"USGS-04085500",43.9263822,-87.939815,"nhd_12175132"
"USGS-04086040",43.0822347,-87.8456393,NA
"USGS-04087176",43.0269586,-87.8820283,NA
"USGS-05331610",46.3043897,-91.500468,"nhd_2260889"
"USGS-05332715",46.021888,-91.997961,"nhd_13118898"
"USGS-05333000",45.9327224,-92.0382387,NA
"USGS-05334000",45.7460594,-91.9168423,"nhd_2264553"
"USGS-05334495",45.897724,-92.3429714,NA
"USGS-05334999",45.9271691,-92.4207507,NA
"USGS-05335000",45.9277247,-92.4210284,"nhd_2266141"
"USGS-05335315",45.5996753,-92.3196372,NA
"USGS-05338920",45.7452298,-92.593258,NA
"USGS-05341000",45.5557884,-92.3879736,"nhd_2644120"
"USGS-05341031",45.5105113,-92.3018585,"nhd_2644214"
"USGS-05341748",45.0516335,-92.6499233,NA
"USGS-05357000",45.3038522,-91.3532106,"nhd_13124084"
"USGS-05357147",46.0927279,-89.6112598,NA
"USGS-05357154",46.1305053,-89.6815409,NA
"USGS-05357168",46.1455051,-89.7012642,"nhd_13343540"
"USGS-05357217",46.0532839,-89.5662573,"nhd_13344026"
"USGS-05357219",46.0571728,-89.5673685,NA
"USGS-05359000",45.7577392,-90.7307104,"nhd_13349716"
"USGS-05363099",45.0852403,-91.3132082,"nhd_13352218"
"USGS-05363100",45.0921848,-91.3087636,NA
"USGS-05367630",45.5246766,-92.0162903,NA
"USGS-05381160",44.4263513,-90.3693002,NA
"USGS-05387095",43.5374731,-90.9612407,"nhd_13205684"
"USGS-05390500",45.9501389,-89.05425,"nhd_13393597"
"USGS-05390700",45.8985637,-89.4529169,NA
"USGS-05390750",45.9193965,-89.5320868,"nhd_13393681"
"USGS-05392024",45.4235707,-89.4901266,"nhd_13399231"
"USGS-05394489",45.2594096,-89.6140139,NA
"USGS-05395500",45.3166329,-90.2001449,"nhd_14729154"
"USGS-05400422",44.8088889,-89.3519444,"nhd_14701628"
"USGS-05401063",44.1956389,-89.4174722,NA
"USGS-05401065",44.2044181,-89.4490085,"nhd_14704072"
"USGS-05401067",44.2055288,-89.4717865,"nhd_14704074"
"USGS-05401537",44.1188627,-89.477621,"nhd_14704110"
"USGS-05404500",43.4263889,-89.7277778,NA
"USGS-05405499",43.4238749,-89.2759496,NA
"USGS-05406050",43.2838782,-89.6542885,"nhd_13631637"
"USGS-05424500",43.1236185,-88.3614848,"nhd_13290844"
"USGS-05425000",43.125007,-88.3903744,"nhd_13290840"
"USGS-05425120",43.1172285,-88.4995437,NA
"USGS-05426170",42.9527881,-88.4959322,"nhd_13294464"
"USGS-05427235",42.8575065,-88.9409429,NA
"USGS-05427500",43.0055567,-89.0014991,NA
"USGS-05427503",43.021112,-88.9878876,"nhd_13291034"
"USGS-054279449",43.0958284,-89.5287323,NA
"USGS-05427946",43.092773,-89.5228989,NA
"USGS-054279485",43.0872176,-89.5098433,NA
"USGS-05427949",43.0902731,-89.5048432,"nhd_13293302"
"USGS-054279502",43.1197168,-89.5070653,"nhd_13293284"
"USGS-05427968",43.0983288,-89.4078969,"nhd_13293262"
"USGS-05428000",43.0949956,-89.3701184,NA
"USGS-05429000",43.0633297,-89.3970636,"nhd_13293316"
"USGS-05429118",43.0577743,-89.4062305,NA
"USGS-05429485",43.0088889,-89.3052778,NA
"USGS-05431000",42.7291792,-88.6820488,NA
"USGS-054310171",42.6175155,-88.5817678,NA
"USGS-05433520",42.757224,-89.9576246,NA
"USGS-05435929",43.017497,-89.5342883,NA
"USGS-05435987",42.9561096,-89.6795669,NA
"USGS-05544500",42.7083512,-88.1153641,"nhd_14767924"
"USGS-05545000",42.7439017,-88.6292696,"nhd_19284965"
"USGS-05545500",42.6805728,-88.241757,"nhd_14767930"
"USGS-05545550",42.6761283,-88.2492572,"nhd_14767942"
